checkpoint,arm,name,training_record_presentations,anchored_cohorts,reachable,known,no_unique,union,union_lost,union_rescued,hybrid,hybrid_lost,hybrid_rescued,anchor_lost,anchor_gained,t0success,t0unknown,t0wrong
0,0,current_plus_squared,0,0,2070,1602,468,2093,23,0,2070,0,0,0,0,1385,672,103
0,1,real_history,0,0,2070,1602,468,2093,23,0,2070,0,0,0,0,1385,672,103
0,2,zero_history,0,0,2070,1602,468,2093,23,0,2070,0,0,0,0,1385,672,103
0,3,real_history_plus_replay,0,0,2070,1602,468,2093,23,0,2070,0,0,0,0,1385,672,103
4,0,current_plus_squared,4320,4,2076,1613,463,2093,30,13,2070,9,15,10,22,1399,625,136
4,1,real_history,4320,4,2079,1616,463,2093,26,12,2070,6,15,6,15,1387,654,119
4,2,zero_history,4320,4,2073,1607,466,2093,27,7,2070,5,8,7,14,1385,668,107
4,3,real_history_plus_replay,4320,4,2072,1611,461,2093,29,8,2070,7,9,8,11,1383,646,131
8,0,current_plus_squared,8640,4,2072,1615,457,2093,39,18,2070,18,20,18,26,1400,605,155
8,1,real_history,8640,4,2088,1626,462,2093,26,21,2070,7,25,8,26,1392,613,155
8,2,zero_history,8640,4,2071,1606,465,2093,26,4,2070,5,6,11,16,1384,667,109
8,3,real_history_plus_replay,8640,4,2072,1610,462,2093,28,7,2070,7,9,9,12,1380,656,124
12,0,current_plus_squared,12960,4,2072,1615,457,2093,39,18,2070,19,21,19,27,1392,601,167
12,1,real_history,12960,4,2087,1631,456,2093,33,27,2070,14,31,15,32,1385,579,196
12,2,zero_history,12960,4,2070,1607,463,2093,27,4,2070,7,7,12,16,1384,660,116
12,3,real_history_plus_replay,12960,4,2076,1613,463,2093,27,10,2070,6,12,8,15,1380,645,135
16,0,current_plus_squared,17280,4,2073,1616,457,2093,39,19,2070,20,23,19,28,1382,584,194
16,1,real_history,17280,4,2090,1635,455,2093,34,31,2070,15,35,16,36,1384,565,211
16,2,zero_history,17280,4,2070,1605,465,2093,26,3,2070,6,6,13,17,1386,654,120
16,3,real_history_plus_replay,17280,4,2077,1615,462,2093,28,12,2070,7,14,8,16,1379,657,124
20,0,current_plus_squared,21600,4,2072,1617,455,2093,41,20,2070,22,24,21,29,1374,561,225
20,1,real_history,21600,4,2091,1635,456,2093,33,31,2070,14,35,15,36,1384,568,208
20,2,zero_history,21600,4,2072,1607,465,2093,26,5,2070,6,8,12,18,1387,650,123
20,3,real_history_plus_replay,21600,4,2082,1618,464,2093,26,15,2070,5,17,7,20,1380,668,112
24,0,current_plus_squared,25920,4,2074,1618,456,2093,39,20,2070,21,25,21,31,1367,553,240
24,1,real_history,25920,4,2090,1636,454,2093,35,32,2070,16,36,17,37,1386,559,215
24,2,zero_history,25920,4,2072,1607,465,2093,27,6,2070,6,8,14,20,1386,643,131
24,3,real_history_plus_replay,25920,4,2079,1616,463,2093,27,13,2070,6,15,8,18,1386,669,105
28,0,current_plus_squared,30240,4,2074,1618,456,2093,39,20,2070,21,25,21,31,1363,535,262
28,1,real_history,30240,4,2085,1633,452,2093,38,30,2070,19,34,22,37,1383,550,227
28,2,zero_history,30240,4,2074,1609,465,2093,26,7,2070,6,10,13,21,1386,643,131
28,3,real_history_plus_replay,30240,4,2077,1615,462,2093,28,12,2070,7,14,9,17,1380,665,115
32,0,current_plus_squared,34560,4,2073,1618,455,2093,41,21,2070,22,25,23,32,1361,520,279
32,1,real_history,34560,4,2085,1633,452,2093,38,30,2070,19,34,22,37,1385,550,225
32,2,zero_history,34560,4,2073,1608,465,2093,26,6,2070,6,9,13,20,1384,638,138
32,3,real_history_plus_replay,34560,4,2084,1621,463,2093,26,17,2070,6,20,9,24,1390,633,137
