replica,phase,checkpoint,arm,A,B,C,D
0,0,1,0,1080,0,0,0
0,0,2,0,0,1080,0,0
0,0,3,0,0,0,1080,0
0,0,4,0,0,0,0,1080
0,1,1,0,1080,0,0,0
0,1,1,1,540,180,180,180
0,1,1,2,270,270,270,270
0,1,1,3,1080,0,0,0
0,1,2,0,0,1080,0,0
0,1,2,1,180,540,180,180
0,1,2,2,270,270,270,270
0,1,2,3,1080,0,0,0
0,1,3,0,0,0,1080,0
0,1,3,1,180,180,540,180
0,1,3,2,270,270,270,270
0,1,3,3,1080,0,0,0
0,1,4,0,0,0,0,1080
0,1,4,1,180,180,180,540
0,1,4,2,270,270,270,270
0,1,4,3,1080,0,0,0
0,1,5,0,1080,0,0,0
0,1,5,1,540,180,180,180
0,1,5,2,270,270,270,270
0,1,5,3,1080,0,0,0
0,1,6,0,0,1080,0,0
0,1,6,1,180,540,180,180
0,1,6,2,270,270,270,270
0,1,6,3,1080,0,0,0
0,1,7,0,0,0,1080,0
0,1,7,1,180,180,540,180
0,1,7,2,270,270,270,270
0,1,7,3,1080,0,0,0
0,1,8,0,0,0,0,1080
0,1,8,1,180,180,180,540
0,1,8,2,270,270,270,270
0,1,8,3,1080,0,0,0
0,1,9,0,1080,0,0,0
0,1,9,1,540,180,180,180
0,1,9,2,270,270,270,270
0,1,9,3,1080,0,0,0
0,1,10,0,0,1080,0,0
0,1,10,1,180,540,180,180
0,1,10,2,270,270,270,270
0,1,10,3,1080,0,0,0
0,1,11,0,0,0,1080,0
0,1,11,1,180,180,540,180
0,1,11,2,270,270,270,270
0,1,11,3,1080,0,0,0
0,1,12,0,0,0,0,1080
0,1,12,1,180,180,180,540
0,1,12,2,270,270,270,270
0,1,12,3,1080,0,0,0
0,1,13,0,1080,0,0,0
0,1,13,1,540,180,180,180
0,1,13,2,270,270,270,270
0,1,13,3,1080,0,0,0
0,1,14,0,0,1080,0,0
0,1,14,1,180,540,180,180
0,1,14,2,270,270,270,270
0,1,14,3,1080,0,0,0
0,1,15,0,0,0,1080,0
0,1,15,1,180,180,540,180
0,1,15,2,270,270,270,270
0,1,15,3,1080,0,0,0
0,1,16,0,0,0,0,1080
0,1,16,1,180,180,180,540
0,1,16,2,270,270,270,270
0,1,16,3,1080,0,0,0
0,1,17,0,1080,0,0,0
0,1,17,1,540,180,180,180
0,1,17,2,270,270,270,270
0,1,17,3,1080,0,0,0
0,1,18,0,0,1080,0,0
0,1,18,1,180,540,180,180
0,1,18,2,270,270,270,270
0,1,18,3,1080,0,0,0
0,1,19,0,0,0,1080,0
0,1,19,1,180,180,540,180
0,1,19,2,270,270,270,270
0,1,19,3,1080,0,0,0
0,1,20,0,0,0,0,1080
0,1,20,1,180,180,180,540
0,1,20,2,270,270,270,270
0,1,20,3,1080,0,0,0
0,1,21,0,1080,0,0,0
0,1,21,1,540,180,180,180
0,1,21,2,270,270,270,270
0,1,21,3,1080,0,0,0
0,1,22,0,0,1080,0,0
0,1,22,1,180,540,180,180
0,1,22,2,270,270,270,270
0,1,22,3,1080,0,0,0
0,1,23,0,0,0,1080,0
0,1,23,1,180,180,540,180
0,1,23,2,270,270,270,270
0,1,23,3,1080,0,0,0
0,1,24,0,0,0,0,1080
0,1,24,1,180,180,180,540
0,1,24,2,270,270,270,270
0,1,24,3,1080,0,0,0
0,1,25,0,1080,0,0,0
0,1,25,1,540,180,180,180
0,1,25,2,270,270,270,270
0,1,25,3,1080,0,0,0
0,1,26,0,0,1080,0,0
0,1,26,1,180,540,180,180
0,1,26,2,270,270,270,270
0,1,26,3,1080,0,0,0
0,1,27,0,0,0,1080,0
0,1,27,1,180,180,540,180
0,1,27,2,270,270,270,270
0,1,27,3,1080,0,0,0
0,1,28,0,0,0,0,1080
0,1,28,1,180,180,180,540
0,1,28,2,270,270,270,270
0,1,28,3,1080,0,0,0
0,1,29,0,1080,0,0,0
0,1,29,1,540,180,180,180
0,1,29,2,270,270,270,270
0,1,29,3,1080,0,0,0
0,1,30,0,0,1080,0,0
0,1,30,1,180,540,180,180
0,1,30,2,270,270,270,270
0,1,30,3,1080,0,0,0
0,1,31,0,0,0,1080,0
0,1,31,1,180,180,540,180
0,1,31,2,270,270,270,270
0,1,31,3,1080,0,0,0
0,1,32,0,0,0,0,1080
0,1,32,1,180,180,180,540
0,1,32,2,270,270,270,270
0,1,32,3,1080,0,0,0
1,0,1,0,1080,0,0,0
1,0,2,0,0,1080,0,0
1,0,3,0,0,0,1080,0
1,0,4,0,0,0,0,1080
1,1,1,0,1080,0,0,0
1,1,1,1,540,180,180,180
1,1,1,2,270,270,270,270
1,1,1,3,1080,0,0,0
1,1,2,0,0,1080,0,0
1,1,2,1,180,540,180,180
1,1,2,2,270,270,270,270
1,1,2,3,1080,0,0,0
1,1,3,0,0,0,1080,0
1,1,3,1,180,180,540,180
1,1,3,2,270,270,270,270
1,1,3,3,1080,0,0,0
1,1,4,0,0,0,0,1080
1,1,4,1,180,180,180,540
1,1,4,2,270,270,270,270
1,1,4,3,1080,0,0,0
1,1,5,0,1080,0,0,0
1,1,5,1,540,180,180,180
1,1,5,2,270,270,270,270
1,1,5,3,1080,0,0,0
1,1,6,0,0,1080,0,0
1,1,6,1,180,540,180,180
1,1,6,2,270,270,270,270
1,1,6,3,1080,0,0,0
1,1,7,0,0,0,1080,0
1,1,7,1,180,180,540,180
1,1,7,2,270,270,270,270
1,1,7,3,1080,0,0,0
1,1,8,0,0,0,0,1080
1,1,8,1,180,180,180,540
1,1,8,2,270,270,270,270
1,1,8,3,1080,0,0,0
1,1,9,0,1080,0,0,0
1,1,9,1,540,180,180,180
1,1,9,2,270,270,270,270
1,1,9,3,1080,0,0,0
1,1,10,0,0,1080,0,0
1,1,10,1,180,540,180,180
1,1,10,2,270,270,270,270
1,1,10,3,1080,0,0,0
1,1,11,0,0,0,1080,0
1,1,11,1,180,180,540,180
1,1,11,2,270,270,270,270
1,1,11,3,1080,0,0,0
1,1,12,0,0,0,0,1080
1,1,12,1,180,180,180,540
1,1,12,2,270,270,270,270
1,1,12,3,1080,0,0,0
1,1,13,0,1080,0,0,0
1,1,13,1,540,180,180,180
1,1,13,2,270,270,270,270
1,1,13,3,1080,0,0,0
1,1,14,0,0,1080,0,0
1,1,14,1,180,540,180,180
1,1,14,2,270,270,270,270
1,1,14,3,1080,0,0,0
1,1,15,0,0,0,1080,0
1,1,15,1,180,180,540,180
1,1,15,2,270,270,270,270
1,1,15,3,1080,0,0,0
1,1,16,0,0,0,0,1080
1,1,16,1,180,180,180,540
1,1,16,2,270,270,270,270
1,1,16,3,1080,0,0,0
1,1,17,0,1080,0,0,0
1,1,17,1,540,180,180,180
1,1,17,2,270,270,270,270
1,1,17,3,1080,0,0,0
1,1,18,0,0,1080,0,0
1,1,18,1,180,540,180,180
1,1,18,2,270,270,270,270
1,1,18,3,1080,0,0,0
1,1,19,0,0,0,1080,0
1,1,19,1,180,180,540,180
1,1,19,2,270,270,270,270
1,1,19,3,1080,0,0,0
1,1,20,0,0,0,0,1080
1,1,20,1,180,180,180,540
1,1,20,2,270,270,270,270
1,1,20,3,1080,0,0,0
1,1,21,0,1080,0,0,0
1,1,21,1,540,180,180,180
1,1,21,2,270,270,270,270
1,1,21,3,1080,0,0,0
1,1,22,0,0,1080,0,0
1,1,22,1,180,540,180,180
1,1,22,2,270,270,270,270
1,1,22,3,1080,0,0,0
1,1,23,0,0,0,1080,0
1,1,23,1,180,180,540,180
1,1,23,2,270,270,270,270
1,1,23,3,1080,0,0,0
1,1,24,0,0,0,0,1080
1,1,24,1,180,180,180,540
1,1,24,2,270,270,270,270
1,1,24,3,1080,0,0,0
1,1,25,0,1080,0,0,0
1,1,25,1,540,180,180,180
1,1,25,2,270,270,270,270
1,1,25,3,1080,0,0,0
1,1,26,0,0,1080,0,0
1,1,26,1,180,540,180,180
1,1,26,2,270,270,270,270
1,1,26,3,1080,0,0,0
1,1,27,0,0,0,1080,0
1,1,27,1,180,180,540,180
1,1,27,2,270,270,270,270
1,1,27,3,1080,0,0,0
1,1,28,0,0,0,0,1080
1,1,28,1,180,180,180,540
1,1,28,2,270,270,270,270
1,1,28,3,1080,0,0,0
1,1,29,0,1080,0,0,0
1,1,29,1,540,180,180,180
1,1,29,2,270,270,270,270
1,1,29,3,1080,0,0,0
1,1,30,0,0,1080,0,0
1,1,30,1,180,540,180,180
1,1,30,2,270,270,270,270
1,1,30,3,1080,0,0,0
1,1,31,0,0,0,1080,0
1,1,31,1,180,180,540,180
1,1,31,2,270,270,270,270
1,1,31,3,1080,0,0,0
1,1,32,0,0,0,0,1080
1,1,32,1,180,180,180,540
1,1,32,2,270,270,270,270
1,1,32,3,1080,0,0,0
2,0,1,0,1080,0,0,0
2,0,2,0,0,1080,0,0
2,0,3,0,0,0,1080,0
2,0,4,0,0,0,0,1080
2,1,1,0,1080,0,0,0
2,1,1,1,540,180,180,180
2,1,1,2,270,270,270,270
2,1,1,3,1080,0,0,0
2,1,2,0,0,1080,0,0
2,1,2,1,180,540,180,180
2,1,2,2,270,270,270,270
2,1,2,3,1080,0,0,0
2,1,3,0,0,0,1080,0
2,1,3,1,180,180,540,180
2,1,3,2,270,270,270,270
2,1,3,3,1080,0,0,0
2,1,4,0,0,0,0,1080
2,1,4,1,180,180,180,540
2,1,4,2,270,270,270,270
2,1,4,3,1080,0,0,0
2,1,5,0,1080,0,0,0
2,1,5,1,540,180,180,180
2,1,5,2,270,270,270,270
2,1,5,3,1080,0,0,0
2,1,6,0,0,1080,0,0
2,1,6,1,180,540,180,180
2,1,6,2,270,270,270,270
2,1,6,3,1080,0,0,0
2,1,7,0,0,0,1080,0
2,1,7,1,180,180,540,180
2,1,7,2,270,270,270,270
2,1,7,3,1080,0,0,0
2,1,8,0,0,0,0,1080
2,1,8,1,180,180,180,540
2,1,8,2,270,270,270,270
2,1,8,3,1080,0,0,0
2,1,9,0,1080,0,0,0
2,1,9,1,540,180,180,180
2,1,9,2,270,270,270,270
2,1,9,3,1080,0,0,0
2,1,10,0,0,1080,0,0
2,1,10,1,180,540,180,180
2,1,10,2,270,270,270,270
2,1,10,3,1080,0,0,0
2,1,11,0,0,0,1080,0
2,1,11,1,180,180,540,180
2,1,11,2,270,270,270,270
2,1,11,3,1080,0,0,0
2,1,12,0,0,0,0,1080
2,1,12,1,180,180,180,540
2,1,12,2,270,270,270,270
2,1,12,3,1080,0,0,0
2,1,13,0,1080,0,0,0
2,1,13,1,540,180,180,180
2,1,13,2,270,270,270,270
2,1,13,3,1080,0,0,0
2,1,14,0,0,1080,0,0
2,1,14,1,180,540,180,180
2,1,14,2,270,270,270,270
2,1,14,3,1080,0,0,0
2,1,15,0,0,0,1080,0
2,1,15,1,180,180,540,180
2,1,15,2,270,270,270,270
2,1,15,3,1080,0,0,0
2,1,16,0,0,0,0,1080
2,1,16,1,180,180,180,540
2,1,16,2,270,270,270,270
2,1,16,3,1080,0,0,0
2,1,17,0,1080,0,0,0
2,1,17,1,540,180,180,180
2,1,17,2,270,270,270,270
2,1,17,3,1080,0,0,0
2,1,18,0,0,1080,0,0
2,1,18,1,180,540,180,180
2,1,18,2,270,270,270,270
2,1,18,3,1080,0,0,0
2,1,19,0,0,0,1080,0
2,1,19,1,180,180,540,180
2,1,19,2,270,270,270,270
2,1,19,3,1080,0,0,0
2,1,20,0,0,0,0,1080
2,1,20,1,180,180,180,540
2,1,20,2,270,270,270,270
2,1,20,3,1080,0,0,0
2,1,21,0,1080,0,0,0
2,1,21,1,540,180,180,180
2,1,21,2,270,270,270,270
2,1,21,3,1080,0,0,0
2,1,22,0,0,1080,0,0
2,1,22,1,180,540,180,180
2,1,22,2,270,270,270,270
2,1,22,3,1080,0,0,0
2,1,23,0,0,0,1080,0
2,1,23,1,180,180,540,180
2,1,23,2,270,270,270,270
2,1,23,3,1080,0,0,0
2,1,24,0,0,0,0,1080
2,1,24,1,180,180,180,540
2,1,24,2,270,270,270,270
2,1,24,3,1080,0,0,0
2,1,25,0,1080,0,0,0
2,1,25,1,540,180,180,180
2,1,25,2,270,270,270,270
2,1,25,3,1080,0,0,0
2,1,26,0,0,1080,0,0
2,1,26,1,180,540,180,180
2,1,26,2,270,270,270,270
2,1,26,3,1080,0,0,0
2,1,27,0,0,0,1080,0
2,1,27,1,180,180,540,180
2,1,27,2,270,270,270,270
2,1,27,3,1080,0,0,0
2,1,28,0,0,0,0,1080
2,1,28,1,180,180,180,540
2,1,28,2,270,270,270,270
2,1,28,3,1080,0,0,0
2,1,29,0,1080,0,0,0
2,1,29,1,540,180,180,180
2,1,29,2,270,270,270,270
2,1,29,3,1080,0,0,0
2,1,30,0,0,1080,0,0
2,1,30,1,180,540,180,180
2,1,30,2,270,270,270,270
2,1,30,3,1080,0,0,0
2,1,31,0,0,0,1080,0
2,1,31,1,180,180,540,180
2,1,31,2,270,270,270,270
2,1,31,3,1080,0,0,0
2,1,32,0,0,0,0,1080
2,1,32,1,180,180,180,540
2,1,32,2,270,270,270,270
2,1,32,3,1080,0,0,0
