stage,epoch,base_index,nominal_id,mode,resource,episode,stream_seed
0,0,0,49001,0,0,0,779491
0,0,0,49001,0,0,1,787410
0,0,0,49001,0,0,2,795329
0,0,0,49001,0,0,3,698519
0,0,0,49001,0,0,4,811167
0,0,0,49001,0,0,5,819086
0,0,0,49001,0,0,6,931734
0,0,0,49001,0,0,7,834924
0,0,0,49001,0,0,8,994859
0,0,0,49001,0,0,9,955491
0,0,0,49001,0,0,10,963410
0,0,0,49001,0,0,11,866600
0,0,0,49001,0,1,0,874519
0,0,0,49001,0,1,1,777709
0,0,0,49001,0,1,2,890357
0,0,0,49001,0,1,3,898276
0,0,0,49001,0,1,4,906195
0,0,0,49001,0,1,5,704656
0,0,0,49001,0,1,6,922033
0,0,0,49001,0,1,7,929952
0,0,0,49001,0,1,8,937871
0,0,0,49001,0,1,9,50516
0,0,0,49001,0,1,10,953709
0,0,0,49001,0,1,11,961628
0,0,0,49001,0,2,0,864818
0,0,0,49001,0,2,1,82192
0,0,0,49001,0,2,2,194840
0,0,0,49001,0,2,3,888575
0,0,0,49001,0,2,4,105949
0,0,0,49001,0,2,5,904413
0,0,0,49001,0,2,6,912332
0,0,0,49001,0,2,7,920251
0,0,0,49001,0,2,8,928170
0,0,0,49001,0,2,9,936089
0,0,0,49001,0,2,10,944008
0,0,0,49001,0,2,11,56653
0,0,0,49001,0,3,0,274030
0,0,0,49001,0,3,1,177220
0,0,0,49001,0,3,2,80410
0,0,0,49001,0,3,3,193058
0,0,0,49001,0,3,4,200977
0,0,0,49001,0,3,5,104167
0,0,0,49001,0,3,6,7357
0,0,0,49001,0,3,7,224734
0,0,0,49001,0,3,8,232653
0,0,0,49001,0,3,9,135843
0,0,0,49001,0,3,10,143762
0,0,0,49001,0,3,11,256410
0,0,0,49001,0,4,0,473787
0,0,0,49001,0,4,1,272248
0,0,0,49001,0,4,2,117996
0,0,0,49001,0,4,3,288086
0,0,0,49001,0,4,4,505463
0,0,0,49001,0,4,5,513382
0,0,0,49001,0,4,6,44943
0,0,0,49001,0,4,7,319762
0,0,0,49001,0,4,8,374968
0,0,0,49001,0,4,9,335600
0,0,0,49001,0,4,10,343519
0,0,0,49001,0,4,11,246709
0,0,0,49001,1,0,0,149899
0,0,0,49001,1,0,1,262547
0,0,0,49001,1,0,2,375195
0,0,0,49001,1,0,3,278385
0,0,0,49001,1,0,4,286304
0,0,0,49001,1,0,5,398952
0,0,0,49001,1,0,6,406871
0,0,0,49001,1,0,7,310061
0,0,0,49001,1,0,8,317980
0,0,0,49001,1,0,9,325899
0,0,0,49001,1,0,10,229089
0,0,0,49001,1,0,11,341737
0,0,0,49001,1,1,0,454385
0,0,0,49001,1,1,1,462304
0,0,0,49001,1,1,2,470223
0,0,0,49001,1,1,3,373413
0,0,0,49001,1,1,4,276603
0,0,0,49001,1,1,5,389251
0,0,0,49001,1,1,6,397170
0,0,0,49001,1,1,7,928734
0,0,0,49001,1,1,8,517737
0,0,0,49001,1,1,9,525656
0,0,0,49001,1,1,10,428846
0,0,0,49001,1,1,11,541494
0,0,0,49001,1,2,0,549413
0,0,0,49001,1,2,1,557332
0,0,0,49001,1,2,2,565251
0,0,0,49001,1,2,3,573170
0,0,0,49001,1,2,4,581089
0,0,0,49001,1,2,5,589008
0,0,0,49001,1,2,6,701656
0,0,0,49001,1,2,7,604846
0,0,0,49001,1,2,8,450594
0,0,0,49001,1,2,9,620684
0,0,0,49001,1,2,10,628603
0,0,0,49001,1,2,11,636522
0,0,0,49001,1,3,0,644441
0,0,0,49001,1,3,1,757089
0,0,0,49001,1,3,2,765008
0,0,0,49001,1,3,3,668198
0,0,0,49001,1,3,4,780846
0,0,0,49001,1,3,5,788765
0,0,0,49001,1,3,6,110868
0,0,0,49001,1,3,7,909332
0,0,0,49001,1,3,8,917251
0,0,0,49001,1,3,9,820441
0,0,0,49001,1,3,10,723631
0,0,0,49001,1,3,11,731550
0,0,0,49001,1,4,0,739469
0,0,0,49001,1,4,1,747388
0,0,0,49001,1,4,2,860036
0,0,0,49001,1,4,3,867955
0,0,0,49001,1,4,4,771145
0,0,0,49001,1,4,5,674335
0,0,0,49001,1,4,6,786983
0,0,0,49001,1,4,7,794902
0,0,0,49001,1,4,8,12276
0,0,0,49001,1,4,9,810740
0,0,0,49001,1,4,10,923388
0,0,0,49001,1,4,11,36033
0,0,0,49001,2,0,0,625039
0,0,0,49001,2,0,1,632958
0,0,0,49001,2,0,2,850335
0,0,0,49001,2,0,3,858254
0,0,0,49001,2,0,4,761444
