replica,arm,name,anchor_successes,ever_lost,never_lost,regained_at_final,missing_at_final,worst_simultaneous_loss,final_retained_fraction,first_loss_checkpoint,first_later_zero_loss_checkpoint,worst_loss_checkpoints
0,0,sequential,2091,31,2060,30,1,16,0.9995217599234816,1,4,18 22 30
0,1,replay,2091,24,2067,10,14,15,0.9933046389287422,1,,23 27
0,2,balanced_mixture,2091,19,2072,9,10,14,0.9952175992348159,1,,26
0,3,continued_A,2091,21,2070,2,19,19,0.9909134385461502,1,,24 25 26 27 28 29 30 31 32
0,4,frozen_fork,2091,0,2091,0,0,0,1.0,,,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
1,0,sequential,2081,35,2046,26,9,17,0.9956751561749159,1,4,30
1,1,replay,2081,26,2055,15,11,15,0.9947140797693417,1,,25
1,2,balanced_mixture,2081,22,2059,9,13,15,0.9937530033637674,1,,30
1,3,continued_A,2081,19,2062,0,19,19,0.9908697741470447,1,,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
1,4,frozen_fork,2081,0,2081,0,0,0,1.0,,,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
2,0,sequential,2082,48,2034,31,17,20,0.9918347742555236,1,,21 25 29
2,1,replay,2082,28,2054,22,6,12,0.9971181556195965,1,,19 25
2,2,balanced_mixture,2082,15,2067,9,6,8,0.9971181556195965,1,,13
2,3,continued_A,2082,17,2065,6,11,15,0.994716618635927,1,,19 21 22 23 24
2,4,frozen_fork,2082,0,2082,0,0,0,1.0,,,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
