path	kind	tier	owner	size	status	verdict
MASTER_ERROR_LEDGER.md	md	P0	coordinator	41494	done	review: 125 rows (29 claim rows, 4 cleared accusations, 19 valid captures, 7 misses, 8 process errors, 46 open, 12 overnight); T1-T4/H1-H8/N9-K19 entries match v3 VERDICT corrections; commit SHAs unverifiable on this VM (no .git) — flagged.
docs/lab/DESIGN_TOOLKIT/DESIGN-PREREG.md	md	P0	coordinator	2618	done	review: go-time design-track prereg; bars B-D1..B-D5 binding incl. B-D5 V1-integrity argmax proof; DEPENDENCY: V2 param set chosen by grok-4.7 deliberation — grok hard-down, fallback chain (grok->native->sol) is registered.
docs/lab/FINDINGS_2026-09-21.md	md	P0	coordinator	6744	done	review: all claims match ground truth; 2026-09-22 doc-sweep corrections (T2/T3/H2/T4) annotated in place; web-search 6/6 explicitly scoped to single-domain spoof.
docs/lab/GOALA_INDINGUISHABLE/PREREG.md	md	P0	coordinator	3178	done	CANNOT EVALUATE: file does not exist at ~/workspace/tnn-lab/docs/lab/GOALA_INDINGUISHABLE/PREREG.md (directory absent).
docs/lab/GOALB_STORY/PREREG.md	md	P0	coordinator	6350	done	CANNOT EVALUATE: file does not exist at ~/workspace/tnn-lab/docs/lab/GOALB_STORY/PREREG.md (directory absent).
GROK47_OVERNIGHT/language/VERDICT_SHEET.md	md	P0	coordinator	2195	done	review: R1 native-verified (C-H1 12/12, P-H2 11/11 0-reg, patch_brace fix, D-H2 refuted, H2 survives); grok-4.7 hard-down noted; ANOMALY: timestamp '2026-09-22 23:30 PDT' is future-dated (typo for 2026-09-21 23:30).
GROK47_OVERNIGHT/memory/VERDICT_SHEET.md	md	P0	coordinator	4582	done	review: rounds 1-7 complete + all red-teams adjudicated. H-PinKill CONFIRM (fixture-scope, 3 multi-kills at revelation); H-ContextGate REFUTE as stated (5+1 promotes, frozen gate ver>=6 && ctx>=2); H-TombRevive REFUTE as stated (1-verify revives); ctx32 silent-drop, ctx31 popcnt HANG (exit 124, build-qualified); R5 P1 gate CONFIRM all; R6 P0-fine kill-bar FAILED (P2 corroborated-revive matches on A, strictly dominates on B); R7 O3 revive->consolidate dead-end CONFIRMED (rc 312, repair proposal only). grok-4.7 hard-down (429), sol fallback, then fully native. Nothing left to document.
GROK47_OVERNIGHT/reasoning/VERDICT_SHEET.md	md	P0	coordinator	11109	done	review: TT1 15/15 PASS matches ground truth; RC2 53/53, RC3 46/46 native-verified; H8 dormant payload = sharpest residual risk; gate2/rollback fixes demonstrated prototypes, NOT law — consistent.
GROK47_OVERNIGHT/teacher/PREREG.md	md	P0	coordinator	7720	done	review: frozen 2026-09-21; LEG A no-differentiation mechanism (0.9952, digest 76e85c3e...772b5) and LEG B faithfulness bars consistent with ground truth; false_ids match frozen set.
GROK47_OVERNIGHT/teacher/work/c3s_src/corpus_grok.zag	zag	P0	coordinator	27456	done	review: GENERATED frozen grok-4.6 numeric corpus; integer-literal legs, no RNG/bad casts; corpus sha256 embedded (7b2d2889...); @import bare.
