path	kind	tier	owner	size	status	verdict
q1-planted-teaches/Q1_PLANTED_TEACHES_VERDICT.md	md	P0	teacher	8851	done	reviewed-ok
q1-planted-teaches/src/q1_driver.zag	zag	P0	teacher	13395	done	reviewed-ok
q1-planted-teaches/src/q1_flawscore.zag	zag	P0	teacher	5274	done	variant-documented
q1-planted-teaches/src/q1_learner.zag	zag	P0	teacher	12902	done	variant-documented
q1-planted-teaches/src/q1_proposal.zag	zag	P0	teacher	6593	done	variant-documented
q1-planted-teaches/src/q1_tape.zag	zag	P0	teacher	6537	done	variant-documented
q1-planted-teaches/src/q1_tripwire.zag	zag	P0	teacher	5817	done	variant-documented
q1-planted-teaches/src/q1_types.zag	zag	P0	teacher	8446	done	variant-documented
q1-planted-teaches/src/q1_world.zag	zag	P0	teacher	10242	done	variant-documented
q1-planted-teaches/src/substrate/R33_NATIVE_IO_V1.zag	zag	P0	teacher	6533	done	variant-documented
q1-planted-teaches/src/substrate/R33_NATIVE_SHA256_V2.zag	zag	P0	teacher	4787	done	variant-documented
q1-planted-teaches/src/substrate/cl/common.zag	zag	P0	teacher	2289	done	variant-documented
q1-planted-teaches/src/t5_core.zag	zag	P0	teacher	20242	done	variant-documented
q1b-teacher-bakeoff/Q1B_TEACHER_BAKEOFF_VERDICT.md	md	P0	teacher	9341	done	reviewed-ok
q1b-teacher-bakeoff/src/q1_flawscore.zag	zag	P0	teacher	5274	done	variant-documented
q1b-teacher-bakeoff/src/q1_learner.zag	zag	P0	teacher	12902	done	variant-documented
q1b-teacher-bakeoff/src/q1_proposal.zag	zag	P0	teacher	6820	done	variant-documented
q1b-teacher-bakeoff/src/q1_tape.zag	zag	P0	teacher	6537	done	variant-documented
q1b-teacher-bakeoff/src/q1_tripwire.zag	zag	P0	teacher	5817	done	variant-documented
q1b-teacher-bakeoff/src/q1_types.zag	zag	P0	teacher	8826	done	variant-documented
q1b-teacher-bakeoff/src/q1_world.zag	zag	P0	teacher	10475	done	variant-documented
q1b-teacher-bakeoff/src/q1b_driver.zag	zag	P0	teacher	15812	done	reviewed-ok
q1b-teacher-bakeoff/src/q1b_teacher.zag	zag	P0	teacher	7614	done	variant-documented
q1b-teacher-bakeoff/src/substrate/R33_NATIVE_IO_V1.zag	zag	P0	teacher	6533	done	variant-documented
q1b-teacher-bakeoff/src/substrate/R33_NATIVE_SHA256_V2.zag	zag	P0	teacher	4787	done	variant-documented
q1b-teacher-bakeoff/src/substrate/cl/common.zag	zag	P0	teacher	2289	done	variant-documented
q1b-teacher-bakeoff/src/t5_core.zag	zag	P0	teacher	20242	done	variant-documented
q1c-teacher-conflict/Q1C_TEACHER_CONFLICT_VERDICT.md	md	P0	teacher	7947	done	reviewed-ok
q1c-teacher-conflict/src/q1_flawscore.zag	zag	P0	teacher	5274	done	variant-documented
q1c-teacher-conflict/src/q1_learner.zag	zag	P0	teacher	14498	done	variant-documented
q1c-teacher-conflict/src/q1_proposal.zag	zag	P0	teacher	7076	done	variant-documented
q1c-teacher-conflict/src/q1_tape.zag	zag	P0	teacher	6537	done	variant-documented
q1c-teacher-conflict/src/q1_tripwire.zag	zag	P0	teacher	5817	done	variant-documented
q1c-teacher-conflict/src/q1_types.zag	zag	P0	teacher	9431	done	variant-documented
q1c-teacher-conflict/src/q1_world.zag	zag	P0	teacher	11537	done	variant-documented
q1c-teacher-conflict/src/q1b_teacher.zag	zag	P0	teacher	7614	done	variant-documented
q1c-teacher-conflict/src/q1c_driver.zag	zag	P0	teacher	24706	done	reviewed-ok
q1c-teacher-conflict/src/q1c_teacher.zag	zag	P0	teacher	2812	done	reviewed-ok
q1c-teacher-conflict/src/substrate/R33_NATIVE_IO_V1.zag	zag	P0	teacher	6533	done	variant-documented
q1c-teacher-conflict/src/substrate/R33_NATIVE_SHA256_V2.zag	zag	P0	teacher	4787	done	variant-documented
q1c-teacher-conflict/src/substrate/cl/common.zag	zag	P0	teacher	2289	done	variant-documented
q1c-teacher-conflict/src/t5_core.zag	zag	P0	teacher	20242	done	variant-documented
q1n-noisy-teacher/Q1N_NOISY10_VERDICT.md	md	P0	teacher	6064	done	reviewed-ok
q1n-noisy-teacher/src/q1_flawscore.zag	zag	P0	teacher	5274	done	variant-documented
q1n-noisy-teacher/src/q1_learner.zag	zag	P0	teacher	12902	done	variant-documented
q1n-noisy-teacher/src/q1_proposal.zag	zag	P0	teacher	7223	done	variant-documented
q1n-noisy-teacher/src/q1_tape.zag	zag	P0	teacher	6537	done	variant-documented
q1n-noisy-teacher/src/q1_tripwire.zag	zag	P0	teacher	5817	done	variant-documented
q1n-noisy-teacher/src/q1_types.zag	zag	P0	teacher	9218	done	variant-documented
q1n-noisy-teacher/src/q1_world.zag	zag	P0	teacher	10475	done	variant-documented
q1n-noisy-teacher/src/q1b_teacher.zag	zag	P0	teacher	7614	done	variant-documented
q1n-noisy-teacher/src/q1n_driver.zag	zag	P0	teacher	23565	done	reviewed-ok
q1n-noisy-teacher/src/q1n_teacher.zag	zag	P0	teacher	5955	done	reviewed-ok
q1n-noisy-teacher/src/substrate/R33_NATIVE_IO_V1.zag	zag	P0	teacher	6533	done	variant-documented
q1n-noisy-teacher/src/substrate/R33_NATIVE_SHA256_V2.zag	zag	P0	teacher	4787	done	variant-documented
q1n-noisy-teacher/src/substrate/cl/common.zag	zag	P0	teacher	2289	done	variant-documented
q1n-noisy-teacher/src/substrate/substrate/R33_NATIVE_IO_V1.zag	zag	P0	teacher	6533	done	variant-documented
q1n-noisy-teacher/src/substrate/substrate/R33_NATIVE_SHA256_V2.zag	zag	P0	teacher	4787	done	variant-documented
q1n-noisy-teacher/src/substrate/substrate/cl/common.zag	zag	P0	teacher	2289	done	variant-documented
q1n-noisy-teacher/src/t5_core.zag	zag	P0	teacher	20854	done	variant-documented
q1tq-noisy50/Q1TQ_NOISY50_VERDICT.md	md	P0	teacher	12569	done	reviewed-ok
q1tq-noisy50/src/q1_flawscore.zag	zag	P0	teacher	5274	done	variant-documented
q1tq-noisy50/src/q1_learner.zag	zag	P0	teacher	12902	done	variant-documented
