name,clip,seal_match,byte_identical,deterministic,sem_rms,sem_corr,sem_maxd,size_match,stage
child-fsd50k-171101,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-171101.wav,True,True,True,209.40521862480313,0.9941501197781689,3962.0,True,done
child-fsd50k-18274,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-18274.wav,True,True,True,755.6186581756982,0.9830802036363057,28532.0,True,done
child-fsd50k-18278,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-18278.wav,True,True,True,85.63401231594688,0.9979095372165365,1055.0,True,done
child-fsd50k-18279,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-18279.wav,True,True,True,118.93202916417744,0.9986689539683483,1359.0,True,done
child-fsd50k-18292,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-18292.wav,True,True,True,47.55282990736477,0.9971953468838658,523.0,True,done
child-fsd50k-31783,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-31783.wav,True,True,True,48.39933046329048,0.9819829423700128,5236.0,True,done
child-fsd50k-350733,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-350733.wav,True,True,True,188.98061003849452,0.9956747589315325,1272.0,True,done
child-fsd50k-416664,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-416664.wav,True,True,True,151.35679445288585,0.9977321948175032,4261.0,True,done
child-fsd50k-416681,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-416681.wav,True,True,True,51.11933173563115,0.996701049396344,558.0,True,done
child-fsd50k-416689,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-416689.wav,True,True,True,104.82353372512483,0.9884454076438826,782.0,True,done
child-fsd50k-426233,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-426233.wav,True,True,True,661.493294351702,0.9922297723986769,10944.0,True,done
child-fsd50k-77406,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-77406.wav,True,True,True,159.9550016686299,0.9960088369947873,2756.0,True,done
child-fsd50k-92927,/home/hatch/workspace/audio_longhorizon/corpus/child/child-fsd50k-92927.wav,True,True,True,100.74305808288719,0.9961241829123926,1535.0,True,done
child-kid-kidb-00,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kidb-00.wav,True,True,True,249.07216038603167,0.9971807348343331,3576.0,True,done
child-kid-kidb-01,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kidb-01.wav,True,True,True,186.83212579485613,0.9983626051435834,6300.0,True,done
child-kid-kidb-02,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kidb-02.wav,True,True,True,266.5178566765042,0.9981196954968149,10192.0,True,done
child-kid-kidb-03,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kidb-03.wav,True,True,True,313.158625776074,0.994144737225463,8717.0,True,done
child-kid-kidb-04,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kidb-04.wav,True,True,True,319.1689699140709,0.9955033858915527,9668.0,True,done
child-kid-kidb-05,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kidb-05.wav,True,True,True,244.52044593597,0.9971150540227132,7244.0,True,done
child-kid-kidb-06,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kidb-06.wav,True,True,True,117.7041135611086,0.9904253101213248,2224.0,True,done
child-kid-kide-07,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kide-07.wav,True,True,True,256.9635769208266,0.9970070561259733,4932.0,True,done
child-kid-kide-08,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kide-08.wav,True,True,True,182.22748788918653,0.9984466106095315,6919.0,True,done
child-kid-kide-09,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kide-09.wav,True,True,True,264.5430979552046,0.9981498934328175,8954.0,True,done
child-kid-kide-10,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kide-10.wav,True,True,True,289.25250112297334,0.994252324798308,6360.0,True,done
child-kid-kide-11,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kide-11.wav,True,True,True,216.48875611405208,0.9980108370583063,5820.0,True,done
child-kid-kide-12,/home/hatch/workspace/audio_longhorizon/corpus/child/child-kid-kide-12.wav,True,True,True,70.55581203731481,0.9949277548283291,1234.0,True,done
child-speechocean-0001,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-0001.wav,True,True,True,234.22340315548558,0.9976686316465047,3854.0,True,done
child-speechocean-0054,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-0054.wav,True,True,True,180.12299368434444,0.9981163181484196,3266.0,True,done
child-speechocean-0104,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-0104.wav,True,True,True,70.11302606216499,0.9987026943892778,1119.0,True,done
child-speechocean-1042,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-1042.wav,True,True,True,68.06592340064392,0.9968990199610396,2485.0,True,done
child-speechocean-1203,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-1203.wav,True,True,True,199.3075605356816,0.9982400785810827,2719.0,True,done
child-speechocean-1469,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-1469.wav,True,True,True,208.3863906681194,0.9981401281736866,3459.0,True,done
child-speechocean-3002,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-3002.wav,True,True,True,101.29685387173994,0.9976043981155366,2532.0,True,done
child-speechocean-3060,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-3060.wav,True,True,True,228.84668148261483,0.9984653709646936,3073.0,True,done
child-speechocean-3636,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-3636.wav,True,True,True,148.78316555483326,0.9978785650622012,3643.0,True,done
child-speechocean-5220,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-5220.wav,True,True,True,144.81587267252507,0.9979480107463603,4510.0,True,done
child-speechocean-5547,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-5547.wav,True,True,True,239.86584376406617,0.9978310904280573,6040.0,True,done
child-speechocean-6912,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-6912.wav,True,True,True,46.71837433363803,0.9975498893472662,1358.0,True,done
child-speechocean-9034,/home/hatch/workspace/audio_longhorizon/corpus/child/child-speechocean-9034.wav,True,True,True,209.9350006260408,0.9981672705422475,4184.0,True,done
child-tomroma-00,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-00.wav,True,True,True,224.8665644140614,0.9978580752329483,6682.0,True,done
child-tomroma-01,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-01.wav,True,True,True,61.765259225275926,0.9981218875243674,1174.0,True,done
child-tomroma-02,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-02.wav,True,True,True,223.33722830393785,0.9962158639800087,10993.0,True,done
child-tomroma-03,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-03.wav,True,True,True,231.0012058356096,0.9981879004720589,3891.0,True,done
child-tomroma-04,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-04.wav,True,True,True,174.77743765148332,0.997489778865536,4894.0,True,done
child-tomroma-05,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-05.wav,True,True,True,303.51928206374686,0.9983634366972984,5162.0,True,done
child-tomroma-06,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-06.wav,True,True,True,168.80382660814007,0.9947040991468584,7701.0,True,done
child-tomroma-07,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-07.wav,True,True,True,17.0520171235505,0.9975040283860941,377.0,True,done
child-tomroma-08,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-08.wav,True,True,True,186.873542118097,0.9969661507784315,5950.0,True,done
child-tomroma-09,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-09.wav,True,True,True,168.2161377883221,0.9992078657574991,1706.0,True,done
child-tomroma-10,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-10.wav,True,True,True,359.1092839665778,0.9962968487818333,13898.0,True,done
child-tomroma-11,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-11.wav,True,True,True,249.14261060461797,0.9983308713981163,7479.0,True,done
child-tomroma-12,/home/hatch/workspace/audio_longhorizon/corpus/child/child-tomroma-12.wav,True,True,True,250.82489873986418,0.9968904240774836,7853.0,True,done
field-esc50-1-100032-A-0,/home/hatch/workspace/audio_longhorizon/corpus/field/field-esc50-1-100032-A-0.wav,True,True,True,179.2860068422327,0.9913629740603519,4233.0,True,done
field-esc50-1-100038-A-14,/home/hatch/workspace/audio_longhorizon/corpus/field/field-esc50-1-100038-A-14.wav,True,True,True,137.14459883153305,0.9976766964068925,3416.0,True,done
field-esc50-1-100210-A-36,/home/hatch/workspace/audio_longhorizon/corpus/field/field-esc50-1-100210-A-36.wav,True,True,True,379.05599183143204,0.9991184460178384,5840.0,True,done
