child-fsd50k-18274	OK	byte_ident=True	sem_rms=226.38	sem_corr=0.9985	sem_maxd=1881	nres_rms=3.07	nimp=51	use_h=0	r2acc=0.000	fsize=2511148	hf12x=1.009	hf16x=1.030
child-fsd50k-18278	OK	byte_ident=True	sem_rms=71.74	sem_corr=0.9985	sem_maxd=724	nres_rms=3.56	nimp=72	use_h=0	r2acc=0.000	fsize=2679932	hf12x=1.012	hf16x=1.024
child-fsd50k-171101	OK	byte_ident=True	sem_rms=182.91	sem_corr=0.9955	sem_maxd=2856	nres_rms=9.78	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.001	hf16x=0.996
child-fsd50k-18279	OK	byte_ident=True	sem_rms=99.51	sem_corr=0.9991	sem_maxd=623	nres_rms=2.83	nimp=32	use_h=1	r2acc=0.000	fsize=2364820	hf12x=0.996	hf16x=0.992
child-fsd50k-18292	OK	byte_ident=True	sem_rms=38.90	sem_corr=0.9981	sem_maxd=411	nres_rms=1.97	nimp=111	use_h=0	r2acc=0.000	fsize=2992204	hf12x=1.012	hf16x=1.691
child-fsd50k-31783	OK	byte_ident=True	sem_rms=23.94	sem_corr=0.9956	sem_maxd=447	nres_rms=15.13	nimp=216	use_h=0	r2acc=0.000	fsize=3839700	hf12x=1.005	hf16x=1.006
child-fsd50k-350733	OK	byte_ident=True	sem_rms=169.97	sem_corr=0.9965	sem_maxd=983	nres_rms=3.63	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.976	hf16x=0.984
child-fsd50k-416664	OK	byte_ident=True	sem_rms=116.79	sem_corr=0.9987	sem_maxd=878	nres_rms=2.37	nimp=162	use_h=0	r2acc=0.000	fsize=3400516	hf12x=0.995	hf16x=1.028
child-fsd50k-416681	OK	byte_ident=True	sem_rms=40.66	sem_corr=0.9980	sem_maxd=299	nres_rms=0.63	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.986	hf16x=1.088
child-fsd50k-416689	OK	byte_ident=True	sem_rms=41.22	sem_corr=0.9982	sem_maxd=404	nres_rms=0.38	nimp=59	use_h=1	r2acc=0.491	fsize=2582332	hf12x=0.986	hf16x=1.013
child-fsd50k-77406	OK	byte_ident=True	sem_rms=111.49	sem_corr=0.9981	sem_maxd=903	nres_rms=9.15	nimp=72	use_h=0	r2acc=0.000	fsize=2681484	hf12x=0.998	hf16x=0.993
child-fsd50k-426233	OK	byte_ident=True	sem_rms=423.47	sem_corr=0.9968	sem_maxd=4264	nres_rms=54.39	nimp=153	use_h=0	r2acc=0.000	fsize=3327124	hf12x=1.017	hf16x=1.021
child-fsd50k-92927	OK	byte_ident=True	sem_rms=83.08	sem_corr=0.9974	sem_maxd=1046	nres_rms=5.56	nimp=133	use_h=0	r2acc=0.000	fsize=3169156	hf12x=0.990	hf16x=0.993
child-kid-kidb-00	OK	byte_ident=True	sem_rms=194.32	sem_corr=0.9983	sem_maxd=1834	nres_rms=6.68	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=0.997	hf16x=1.001
child-kid-kidb-01	OK	byte_ident=True	sem_rms=138.14	sem_corr=0.9991	sem_maxd=1237	nres_rms=8.18	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=1.002	hf16x=1.023
child-kid-kidb-02	OK	byte_ident=True	sem_rms=188.02	sem_corr=0.9991	sem_maxd=1402	nres_rms=7.77	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=0.999	hf16x=1.004
child-kid-kidb-03	OK	byte_ident=True	sem_rms=213.79	sem_corr=0.9973	sem_maxd=3165	nres_rms=10.54	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=0.987	hf16x=0.984
child-kid-kidb-04	OK	byte_ident=True	sem_rms=218.79	sem_corr=0.9979	sem_maxd=2300	nres_rms=8.27	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=1.004	hf16x=0.992
child-kid-kidb-05	OK	byte_ident=True	sem_rms=183.07	sem_corr=0.9984	sem_maxd=1346	nres_rms=6.44	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=1.004	hf16x=0.999
child-kid-kide-07	OK	byte_ident=True	sem_rms=195.08	sem_corr=0.9983	sem_maxd=2148	nres_rms=6.70	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=0.997	hf16x=0.999
child-kid-kidb-06	OK	byte_ident=True	sem_rms=65.75	sem_corr=0.9969	sem_maxd=867	nres_rms=2.32	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=0.950	hf16x=1.020
child-kid-kide-08	OK	byte_ident=True	sem_rms=137.69	sem_corr=0.9991	sem_maxd=1172	nres_rms=8.12	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=0.999	hf16x=1.019
child-kid-kide-09	OK	byte_ident=True	sem_rms=190.87	sem_corr=0.9990	sem_maxd=1717	nres_rms=7.75	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=0.996	hf16x=1.002
child-kid-kide-10	OK	byte_ident=True	sem_rms=186.36	sem_corr=0.9976	sem_maxd=2538	nres_rms=9.80	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=1.003	hf16x=1.005
child-kid-kide-11	OK	byte_ident=True	sem_rms=176.17	sem_corr=0.9987	sem_maxd=1370	nres_rms=5.45	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=1.001	hf16x=0.998
child-kid-kide-12	OK	byte_ident=True	sem_rms=43.23	sem_corr=0.9984	sem_maxd=595	nres_rms=1.99	nimp=220	use_h=0	r2acc=0.000	fsize=3867668	hf12x=0.954	hf16x=0.997
child-speechocean-0001	OK	byte_ident=True	sem_rms=178.94	sem_corr=0.9986	sem_maxd=1298	nres_rms=0.36	nimp=227	use_h=0	r2acc=0.000	fsize=3924292	hf12x=2.005	hf16x=2.005
child-speechocean-0054	OK	byte_ident=True	sem_rms=146.97	sem_corr=0.9987	sem_maxd=1783	nres_rms=1.14	nimp=248	use_h=0	r2acc=0.000	fsize=4093460	hf12x=2.157	hf16x=2.047
child-speechocean-0104	OK	byte_ident=True	sem_rms=55.11	sem_corr=0.9992	sem_maxd=384	nres_rms=0.15	nimp=289	use_h=0	r2acc=0.000	fsize=4419764	hf12x=1.996	hf16x=2.006
child-speechocean-1042	OK	byte_ident=True	sem_rms=47.93	sem_corr=0.9985	sem_maxd=805	nres_rms=0.40	nimp=307	use_h=0	r2acc=0.000	fsize=4565580	hf12x=2.018	hf16x=1.985
child-speechocean-1203	OK	byte_ident=True	sem_rms=154.99	sem_corr=0.9989	sem_maxd=1359	nres_rms=0.39	nimp=266	use_h=0	r2acc=0.000	fsize=4235732	hf12x=1.999	hf16x=2.051
child-speechocean-1469	OK	byte_ident=True	sem_rms=163.13	sem_corr=0.9989	sem_maxd=1612	nres_rms=0.26	nimp=346	use_h=0	r2acc=0.000	fsize=4879836	hf12x=2.011	hf16x=2.003
child-speechocean-3002	OK	byte_ident=True	sem_rms=81.09	sem_corr=0.9985	sem_maxd=1225	nres_rms=0.38	nimp=235	use_h=0	r2acc=0.000	fsize=3987996	hf12x=2.046	hf16x=2.028
child-speechocean-3060	OK	byte_ident=True	sem_rms=189.65	sem_corr=0.9989	sem_maxd=1742	nres_rms=0.32	nimp=318	use_h=0	r2acc=0.000	fsize=4653340	hf12x=1.946	hf16x=1.979
