fixture	rep	judgment	score	defects	confidence
bad_align.img	a	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
bad_align.img	b	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
bad_all.img	a	GOOD	659	SPACING_IRREGULAR,HIERARCHY_FLAT	147
bad_all.img	b	GOOD	659	SPACING_IRREGULAR,HIERARCHY_FLAT	147
bad_clutter.img	a	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
bad_clutter.img	b	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
bad_color.img	a	BAD	488	HIERARCHY_FLAT,COLOR_UNRESTRAINED,ALIGNMENT_WEAK	280
bad_color.img	b	BAD	488	HIERARCHY_FLAT,COLOR_UNRESTRAINED,ALIGNMENT_WEAK	280
bad_contrast_faint.img	a	GOOD	830	HIERARCHY_FLAT	575
bad_contrast_faint.img	b	GOOD	830	HIERARCHY_FLAT	575
bad_contrast_mid.img	a	GOOD	830	HIERARCHY_FLAT	575
bad_contrast_mid.img	b	GOOD	830	HIERARCHY_FLAT	575
bad_hierarchy.img	a	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
bad_hierarchy.img	b	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
bad_margin.img	a	GOOD	659	SPACING_IRREGULAR,HIERARCHY_FLAT	147
bad_margin.img	b	GOOD	659	SPACING_IRREGULAR,HIERARCHY_FLAT	147
bad_spacing.img	a	GOOD	830	HIERARCHY_FLAT	575
bad_spacing.img	b	GOOD	830	HIERARCHY_FLAT	575
bad_type.img	a	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
bad_type.img	b	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
good_clean.img	a	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
good_clean.img	b	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
good_dark.img	a	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
good_dark.img	b	GOOD	659	HIERARCHY_FLAT,ALIGNMENT_WEAK	147
good_mild.img	a	GOOD	807	HIERARCHY_FLAT	517
good_mild.img	b	GOOD	807	HIERARCHY_FLAT	517
good_varied.img	a	GOOD	830	COLOR_UNRESTRAINED	575
good_varied.img	b	GOOD	830	COLOR_UNRESTRAINED	575
