epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
0	0	1434039	0	9	0	1112	0	0	0	19	234	18	0	-120	857	388	819
1	0	748688	0	9	0	1183	0	0	0	25	403	26	0	-336	832	360	794
2	1	10041121	73	26	0	1076	7	0	-169	19	119	183	0	-1184	15	1	14
3	1	13599392	74	29	0	1192	1	0	-251	90	367	331	0	-1568	15	1	14
4	2	10457114	1	28	0	1288	-12	0	-247	129	923	213	30	-1791	29	2	27
5	2	8642245	1	24	0	1302	-25	0	-261	114	1315	89	60	-2034	32	0	29
6	0	6796745	0	9	0	1863	-25	0	-195	482	1499	621	60	-1887	932	247	876
7	0	1103655	0	9	0	2026	-25	0	-179	497	1674	725	60	-2194	922	205	864
8	1	15951572	75	27	0	1884	-93	0	-242	259	1475	862	60	-3176	62	6	57
9	1	16505221	67	28	0	2019	-132	0	-263	250	1843	1004	60	-3556	71	6	66
10	2	13775542	1	25	0	2087	-156	0	-278	240	2475	817	90	-3890	53	4	49
11	2	10979231	1	19	0	2102	-177	0	-297	204	2956	664	120	-4214	27	0	25
12	0	10376018	0	9	0	2839	-175	0	-208	690	3104	1408	120	-4154	865	146	807
13	0	2372136	0	9	0	3121	-175	0	-189	734	3314	1624	120	-4592	886	126	825
14	1	17570245	75	24	0	3023	-273	0	-197	426	3232	1746	120	-5510	169	14	157
15	1	16636723	66	22	0	3162	-318	0	-202	386	3631	1878	120	-5891	172	14	159
16	2	16193790	0	21	0	3184	-345	0	-251	332	4282	1633	150	-6239	150	12	139
17	2	13773191	1	16	0	3151	-365	0	-308	259	4804	1401	180	-6657	77	5	71
18	0	13667963	0	9	0	4036	-361	0	-200	835	4930	2316	180	-6618	842	138	785
19	0	3407748	0	9	0	4378	-361	0	-186	902	5158	2591	180	-7099	882	122	820
20	1	18143107	70	21	0	4295	-466	0	-169	561	5128	2693	180	-7982	215	14	199
21	1	16445385	67	22	0	4435	-507	0	-169	508	5537	2811	180	-8394	213	14	197
22	2	16464597	0	19	0	4438	-533	0	-230	433	6178	2561	210	-8752	227	14	209
23	2	15422719	0	14	0	4392	-551	0	-301	342	6710	2311	240	-9163	202	14	187
24	0	15087547	0	9	0	5347	-546	0	-191	932	6832	3305	240	-9105	867	154	809
25	0	3973226	0	9	0	5695	-546	0	-184	995	7065	3586	240	-9626	889	130	828
26	1	18437252	68	21	0	5614	-643	0	-168	668	7065	3669	240	-10497	257	14	238
27	1	16301968	68	21	0	5748	-677	0	-162	617	7481	3771	240	-10924	248	14	229
28	2	16412906	0	19	0	5740	-701	0	-225	523	8095	3521	270	-11301	289	14	266
29	2	15587733	0	13	0	5693	-719	0	-295	424	8622	3271	300	-11713	260	14	240
30	0	16101238	0	8	0	6701	-714	0	-190	1017	8754	4316	300	-11629	889	169	831
31	0	4478622	0	7	0	7051	-714	0	-188	1071	8995	4600	300	-12167	902	143	841
32	1	18930849	61	18	0	6957	-805	0	-174	745	8982	4661	300	-13058	312	14	288
33	1	16292498	63	20	0	7092	-838	0	-168	701	9427	4746	300	-13467	315	14	291
34	2	16283285	0	17	0	7070	-864	0	-234	594	10012	4496	330	-13846	327	14	301
35	2	15585492	0	11	0	7018	-880	0	-305	486	10531	4246	360	-14246	313	14	289
36	0	16718927	0	7	0	8057	-875	0	-201	1077	10675	5326	360	-14140	906	184	847
37	0	4894512	0	7	0	8413	-875	0	-201	1128	10918	5612	360	-14685	917	159	855
38	1	19495623	62	17	0	8298	-953	0	-197	799	10864	5649	360	-15621	333	14	307
39	1	16392394	63	18	0	8437	-977	0	-187	758	11313	5717	360	-16031	337	14	311
40	2	16403829	0	16	0	8418	-1003	0	-252	650	11907	5467	390	-16374	359	14	331
41	2	15615828	0	9	0	8360	-1019	0	-325	538	12414	5217	420	-16765	351	15	323
42	0	17178203	0	7	0	9427	-1014	0	-221	1125	12572	6321	420	-16632	921	196	863
43	0	5132696	0	7	0	9785	-1014	0	-221	1171	12820	6608	420	-17178	931	174	870
44	1	20204504	62	17	0	9637	-1084	0	-227	844	12724	6625	420	-18156	352	14	324
45	1	16483204	58	18	0	9769	-1097	0	-218	805	13178	6678	420	-18564	357	14	329
46	2	16506950	0	15	0	9748	-1121	0	-283	699	13779	6428	450	-18905	378	15	348
47	2	15716220	0	11	0	9685	-1136	0	-356	584	14289	6178	480	-19303	366	15	337
48	0	17999153	0	7	0	10793	-1131	0	-243	1183	14466	7320	480	-19124	936	208	877
49	0	5296350	0	7	0	11154	-1131	0	-243	1227	14721	7609	480	-19667	945	189	884
50	1	21329542	60	16	0	10974	-1197	0	-255	884	14584	7609	480	-20689	370	14	342
51	1	16632994	52	15	0	11105	-1204	0	-242	843	15036	7644	480	-21104	370	14	341
52	2	16594528	0	15	0	11090	-1227	0	-305	742	15647	7394	510	-21441	395	15	364
53	2	15782181	0	12	0	11031	-1241	0	-376	624	16160	7144	540	-21858	375	15	346
54	0	18788853	0	7	0	12181	-1235	0	-257	1228	16365	8317	540	-21633	948	216	888
55	0	5450383	0	7	0	12546	-1235	0	-257	1272	16625	8608	540	-22173	958	201	897
56	1	22466645	60	16	0	12352	-1294	0	-276	928	16452	8608	540	-23232	403	14	371
57	1	16767533	45	15	0	12471	-1298	0	-259	874	16896	8625	540	-23657	384	14	354
58	2	16637995	0	14	0	12461	-1319	0	-320	776	17517	8375	570	-23983	415	16	383
59	2	15810537	0	12	0	12399	-1331	0	-391	659	18027	8125	600	-24423	381	15	351
