epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
0	0	1434039	0	0	0	1112	0	0	0	19	234	18	0	252	998	744	978
1	0	11726	0	0	0	1112	0	0	0	19	245	18	0	263	998	761	979
2	1	7263575	0	0	0	1016	-6	0	0	0	-191	214	0	-73	641	72	595
3	1	1508305	0	0	0	1032	-6	0	-2	30	-262	336	0	-80	619	56	573
4	2	7710399	0	0	0	858	-10	0	-80	-87	-240	101	27	-160	333	9	307
5	2	6622497	0	0	0	753	-8	0	-121	-129	-177	-72	57	-167	166	4	153
6	0	3984581	0	0	0	1068	-8	0	-95	54	152	122	57	344	998	754	978
7	0	14379	0	0	0	1068	-8	0	-95	54	167	122	57	359	999	777	981
8	1	6557364	0	0	0	954	-16	0	-97	17	-266	282	57	8	635	66	589
9	1	1077765	0	0	0	964	-16	0	-99	40	-328	382	57	-2	611	50	566
10	2	7631357	0	0	0	794	-20	0	-175	-76	-296	148	82	-74	336	9	310
11	2	6587612	0	0	0	690	-19	0	-215	-117	-231	-25	110	-80	171	4	158
12	0	3727827	0	0	0	1005	-19	0	-173	63	97	166	110	429	998	769	980
13	0	13811	0	0	0	1005	-19	0	-173	63	111	166	110	443	999	791	982
14	1	6209060	0	0	0	889	-27	0	-172	19	-322	312	110	86	629	62	583
15	1	851686	0	0	0	901	-27	0	-172	41	-383	403	110	74	605	47	560
16	2	7471069	0	0	0	735	-31	0	-247	-74	-347	171	133	7	331	9	305
17	2	6448504	0	0	0	634	-30	0	-285	-116	-282	0	159	1	170	4	156
18	0	3553020	0	0	0	949	-30	0	-234	65	42	194	159	508	998	778	980
19	0	13713	0	0	0	949	-30	0	-234	65	56	194	159	522	999	801	983
20	1	5973331	0	0	0	829	-38	0	-231	21	-376	330	159	160	624	59	579
21	1	704101	0	0	0	842	-38	0	-229	41	-433	413	159	147	601	44	556
22	2	7338904	0	0	0	682	-41	0	-301	-73	-395	183	180	81	326	8	300
23	2	6320683	0	0	0	584	-40	0	-336	-117	-329	14	204	74	167	4	153
24	0	3489006	0	0	0	901	-40	0	-277	65	-9	211	204	583	998	789	981
25	0	12757	0	0	0	901	-40	0	-277	65	3	211	204	595	999	809	983
26	1	5806945	0	0	0	781	-48	0	-274	20	-428	341	204	232	622	58	576
27	1	589930	0	0	0	793	-48	0	-270	40	-484	419	204	218	599	42	554
28	2	7235381	0	0	0	636	-51	0	-341	-71	-444	191	223	155	327	9	301
29	2	6206100	0	0	0	540	-50	0	-375	-116	-379	24	245	147	169	4	155
30	0	3388910	0	0	0	859	-50	0	-312	63	-59	220	245	653	998	797	982
31	0	11608	0	0	0	859	-50	0	-312	63	-48	220	245	664	999	815	984
32	1	5636693	0	0	0	741	-58	0	-309	20	-480	346	245	300	619	56	573
33	1	518033	0	0	0	753	-58	0	-304	38	-535	419	245	285	595	41	550
34	2	7140613	0	0	0	598	-60	0	-372	-73	-493	193	262	223	326	8	301
35	2	6125930	0	0	0	505	-59	0	-405	-118	-429	28	283	216	172	4	158
36	0	3375353	0	0	0	822	-59	0	-337	61	-107	219	283	719	998	805	983
37	0	10617	0	0	0	822	-59	0	-337	61	-97	219	283	729	999	821	984
38	1	5561138	0	0	0	705	-66	0	-330	18	-529	342	283	364	615	55	570
39	1	465662	0	0	0	719	-66	0	-323	38	-582	412	283	348	594	40	549
40	2	7054545	0	0	0	565	-68	0	-391	-73	-540	187	299	286	327	8	301
41	2	6039124	0	0	0	472	-67	0	-422	-117	-475	24	318	279	174	4	161
42	0	3333108	0	0	0	785	-67	0	-353	59	-153	214	318	781	998	812	983
43	0	10873	0	0	0	785	-67	0	-353	59	-143	214	318	791	999	828	985
44	1	5491254	0	0	0	672	-73	0	-343	19	-575	335	318	423	612	54	567
45	1	434465	0	0	0	687	-73	0	-336	39	-628	404	318	407	593	39	548
46	2	6989608	0	0	0	534	-75	0	-404	-73	-585	180	333	347	328	8	302
47	2	5955944	0	0	0	445	-75	0	-435	-118	-521	18	351	339	178	4	164
48	0	3332054	0	0	0	756	-75	0	-363	54	-197	204	351	840	998	818	984
49	0	9476	0	0	0	756	-75	0	-363	54	-188	204	351	849	999	832	985
50	1	5450892	0	0	0	645	-81	0	-352	17	-621	324	351	481	609	53	564
51	1	409232	0	0	0	660	-81	0	-344	37	-673	390	351	465	591	39	546
52	2	6918336	0	0	0	508	-83	0	-410	-75	-629	167	364	405	330	8	304
53	2	5887862	0	0	0	421	-83	0	-440	-119	-567	8	381	397	182	4	168
54	0	3327958	0	0	0	728	-83	0	-368	52	-240	190	381	897	998	824	984
55	0	8063	0	0	0	728	-83	0	-368	52	-232	190	381	905	999	837	986
56	1	5453431	0	0	0	619	-89	0	-356	15	-666	310	381	536	605	52	560
57	1	388517	0	0	0	635	-89	0	-347	37	-717	377	381	521	591	38	546
58	2	6871062	0	0	0	485	-91	0	-412	-75	-673	156	393	461	334	8	308
59	2	5844581	0	0	0	400	-91	0	-441	-119	-610	-3	408	453	189	5	174
