id	depth	f1	f4	M1	M4a	f1p	f4p
admit-V2-A-clean-0000	1	931	0	931	0	1000	0
admit-V2-A-clean-0000	2	931	0	931	0	1000	0
admit-V2-A-clean-0000	4	931	0	931	0	1000	0
admit-V2-A-clean-0000	8	931	0	931	0	1000	0
admit-V2-A-clean-0000	16	931	0	931	0	1000	0
admit-V2-A-clean-0001	1	931	0	931	0	1000	0
admit-V2-A-clean-0001	2	1000	150	1000	150	1000	1000
admit-V2-A-clean-0001	4	1000	150	1000	150	1000	1000
admit-V2-A-clean-0001	8	1000	150	1000	150	1000	1000
admit-V2-A-clean-0001	16	1000	150	1000	150	1000	1000
admit-V2-A-clean-0002	1	931	0	931	0	1000	0
admit-V2-A-clean-0002	2	1000	150	1000	150	1000	1000
admit-V2-A-clean-0002	4	1000	624	1000	624	1000	1000
admit-V2-A-clean-0002	8	1000	624	1000	624	1000	1000
admit-V2-A-clean-0002	16	1000	624	1000	624	1000	1000
admit-V2-A-clean-0004	1	931	0	931	0	1000	0
admit-V2-A-clean-0004	2	1000	150	1000	150	1000	1000
admit-V2-A-clean-0004	4	1000	754	1000	754	1000	1000
admit-V2-A-clean-0004	8	1000	942	1000	942	1000	1000
admit-V2-A-clean-0004	16	1000	942	1000	942	1000	1000
admit-V2-A-clean-0006	1	931	0	931	0	1000	0
admit-V2-A-clean-0006	2	1000	150	1000	150	1000	1000
admit-V2-A-clean-0006	4	1000	754	1000	754	1000	1000
admit-V2-A-clean-0006	8	1000	657	1000	754	1000	871
admit-V2-A-clean-0006	16	1000	657	1000	754	1000	871
admit-V2-A-clean-0016	1	931	0	931	0	1000	0
admit-V2-A-clean-0016	2	1000	150	1000	150	1000	1000
admit-V2-A-clean-0016	4	1000	754	1000	754	1000	1000
admit-V2-A-clean-0016	8	1000	921	1000	921	1000	1000
admit-V2-A-clean-0016	16	1000	788	1000	921	1000	855
admit-V2-A-clean-0020	1	931	0	931	0	1000	0
admit-V2-A-clean-0020	2	1000	150	1000	150	1000	1000
admit-V2-A-clean-0020	4	1000	754	1000	754	1000	1000
admit-V2-A-clean-0020	8	1000	921	1000	921	1000	1000
admit-V2-A-clean-0020	16	1000	788	1000	921	1000	855
admit-V2-A-clean-0029	1	931	0	931	0	1000	0
admit-V2-A-clean-0029	2	1000	150	1000	150	1000	1000
admit-V2-A-clean-0029	4	1000	754	1000	754	1000	1000
admit-V2-A-clean-0029	8	1000	921	1000	921	1000	1000
admit-V2-A-clean-0029	16	1000	788	1000	921	1000	855
