cls	decision	rate_mil	n	corr	prov
0	INSTALL	0	1000	0	kb-diet-v1:bin00
1	INSTALL	0	1000	0	kb-diet-v1:bin01
2	INSTALL	0	1000	0	kb-diet-v1:bin02
3	INSTALL	1000000	1000	1000	kb-diet-v1:bin03
4	INSTALL	750000	1000	750	kb-diet-v1:bin04
5	INSTALL	515000	1000	515	kb-diet-v1:bin05
6	INSTALL	0	1000	0	kb-diet-v1:bin06
7	INSTALL	0	1000	0	kb-diet-v1:bin07
8	INSTALL	1000000	1000	1000	kb-diet-v1:bin08
9	INSTALL	500000	1000	500	kb-diet-v1:bin09
10	INSTALL	673000	1000	673	kb-diet-v1:bin10
11	INSTALL	1000000	1000	1000	kb-diet-v1:bin11
12	INSTALL	63000	1000	63	kb-diet-v1:bin12
13	INSTALL	250000	1000	250	kb-diet-v1:bin13
14	INSTALL	0	1000	0	kb-diet-v1:bin14
15	INSTALL	776000	1000	776	kb-diet-v1:bin15
16	INSTALL	652000	1000	652	kb-diet-v1:bin16
17	INSTALL	659000	1000	659	kb-diet-v1:bin17
18	INSTALL	667000	1000	667	kb-diet-v1:bin18
19	INSTALL	1000000	1000	1000	kb-diet-v1:bin19
20	INSTALL	1000000	1000	1000	kb-diet-v1:bin20
21	INSTALL	1000000	1000	1000	kb-diet-v1:bin21
22	INSTALL	1000000	1000	1000	kb-diet-v1:bin22
23	INSTALL	0	1000	0	kb-diet-v1:bin23
24	INSTALL	1000000	1000	1000	kb-diet-v1:bin24
25	INSTALL	1000000	1000	1000	kb-diet-v1:bin25
26	INSTALL	1000000	1000	1000	kb-diet-v1:bin26
27	INSTALL	1000000	1000	1000	kb-diet-v1:bin27
28	ABSTAIN	950000	0	0	kb-diet-v1:bin28:insufficient-evidence
29	INSTALL	1000000	1000	1000	kb-diet-v1:bin29
30	INSTALL	1000000	1000	1000	kb-diet-v1:bin30
31	INSTALL	997000	1000	997	kb-diet-v1:bin31
32	INSTALL	996000	1000	996	kb-diet-v1:bin32
33	INSTALL	1000000	1000	1000	kb-diet-v1:bin33
34	INSTALL	997000	1000	997	kb-diet-v1:bin34
