# prereg SHA256: f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30 (PREREG_SR.md FROZEN v1, f55d1dbbe1a6...)
family	depth	G	acc	n_rel	n_tot	n_correct	n_wrong	mean_conf_correct	mean_conf_wrong
admit	1	-0.354839	1.000000	248	248	248	0	0.645161	n/a
admit	2	-0.834331	1.000000	248	248	248	0	0.165669	n/a
admit	4	-0.931625	1.000000	248	248	248	0	0.068375	n/a
admit	8	-0.865786	1.000000	248	248	248	0	0.134214	n/a
admit	16	-0.926270	1.000000	248	248	248	0	0.073730	n/a
revoke	1	0.000000	1.000000	113	113	113	0	1.000000	n/a
revoke	2	0.000000	1.000000	113	113	113	0	1.000000	n/a
revoke	4	0.000000	1.000000	113	113	113	0	1.000000	n/a
revoke	8	0.000000	1.000000	113	113	113	0	1.000000	n/a
revoke	16	0.000000	1.000000	113	113	113	0	1.000000	n/a
logic	1	0.000000	1.000000	264	264	264	0	1.000000	n/a
logic	2	0.000000	1.000000	264	264	264	0	1.000000	n/a
logic	4	0.000000	1.000000	264	264	264	0	1.000000	n/a
logic	8	0.000000	1.000000	264	264	264	0	1.000000	n/a
logic	16	0.000000	1.000000	264	264	264	0	1.000000	n/a
cost	1	0.000000	1.000000	125	125	125	0	1.000000	n/a
cost	2	0.000000	1.000000	125	125	125	0	1.000000	n/a
cost	4	0.000000	1.000000	125	125	125	0	1.000000	n/a
cost	8	0.000000	1.000000	125	125	125	0	1.000000	n/a
cost	16	0.000000	1.000000	125	125	125	0	1.000000	n/a
trap	1	0.000000	0.000000	127	127	0	127	n/a	0.000000
trap	2	0.000000	0.000000	85	127	0	85	n/a	0.000000
trap	4	0.000000	0.000000	5	127	0	5	n/a	0.000000
trap	8	n/a	n/a	0	127	0	0	n/a	n/a
trap	16	n/a	n/a	0	127	0	0	n/a	n/a
ceiling/D	1	0.000000	0.250000	40	40	10	30	1.000000	0.000000
ceiling/D	2	0.000000	0.333333	30	40	10	20	1.000000	0.000000
ceiling/D	4	0.000000	0.500000	20	40	10	10	1.000000	0.000000
ceiling/D	8	0.000000	1.000000	10	40	10	0	1.000000	n/a
ceiling/D	16	0.000000	1.000000	10	40	10	0	1.000000	n/a
ceiling/D	32	0.000000	1.000000	10	40	10	0	1.000000	n/a
ceiling/D	64	0.000000	1.000000	10	40	10	0	1.000000	n/a
ceiling/O	1	-1.000000	1.000000	40	40	40	0	0.000000	n/a
ceiling/O	2	-0.003950	1.000000	40	40	40	0	0.996050	n/a
ceiling/O	4	0.000000	1.000000	40	40	40	0	1.000000	n/a
ceiling/O	8	0.000000	1.000000	30	40	30	0	1.000000	n/a
ceiling/O	16	0.000000	1.000000	20	40	20	0	1.000000	n/a
ceiling/O	32	0.000000	1.000000	10	40	10	0	1.000000	n/a
ceiling/O	64	n/a	n/a	0	40	0	0	n/a	n/a
ceiling/P	1	0.000000	0.000000	40	40	0	40	n/a	0.000000
ceiling/P	2	0.995750	0.000000	40	40	0	40	n/a	0.995750
ceiling/P	4	1.000000	0.000000	40	40	0	40	n/a	1.000000
ceiling/P	8	1.000000	0.000000	30	40	0	30	n/a	1.000000
ceiling/P	16	1.000000	0.000000	20	40	0	20	n/a	1.000000
ceiling/P	32	1.000000	0.000000	10	40	0	10	n/a	1.000000
ceiling/P	64	n/a	n/a	0	40	0	0	n/a	n/a
redteam	1	-0.333333	0.666667	3	3	2	1	0.000000	1.000000
redteam	2	0.000000	0.666667	3	3	2	1	0.500000	1.000000
redteam	4	0.000000	0.500000	2	3	1	1	0.000000	1.000000
redteam	8	1.000000	0.000000	1	3	0	1	n/a	1.000000
redteam	16	1.000000	0.000000	1	3	0	1	n/a	1.000000
