# prereg_sha=f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30
epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA	ll	ac	th	varc	cbar
0	0	-45315771	0	2	0	43484	950	0	16245	42021	32878	29249	0	56083	1000	1000	1000	3838358	-49154129	0	0	771
1	0	3753750	0	2	0	80274	1869	0	30648	78479	61492	54599	0	104667	1000	1000	1000	3753750	0	0	0	1000
2	1	828965635	0	2	0	74906	724	0	30180	74714	46702	55054	0	89956	1000	1000	1000	828965635	0	0	0	1000
3	1	828965635	0	2	0	69538	-421	0	29712	70949	31912	55509	0	75245	1000	1000	1000	828965635	0	0	0	1000
4	2	1533616705	0	2	0	65539	-782	0	28431	59862	5708	54884	8	48564	1000	1000	1000	1533616705	0	0	0	1000
5	2	1533616705	0	2	0	61540	-1143	0	27150	48775	-20496	54259	16	21883	1000	1000	1000	1533616705	0	0	0	1000
6	0	3753750	0	2	0	98330	-224	0	41553	85233	8118	79609	16	70467	1000	1000	1000	3753750	0	0	0	1000
7	0	3753750	0	2	0	135120	695	0	55956	121691	36732	104959	16	119051	1000	1000	1000	3753750	0	0	0	1000
8	1	828965635	0	2	0	129752	-450	0	55488	117926	21942	105414	16	104340	1000	1000	1000	828965635	0	0	0	1000
9	1	828965635	0	2	0	124384	-1595	0	55020	114161	7152	105869	16	89629	1000	1000	1000	828965635	0	0	0	1000
10	2	1533616705	0	2	0	120385	-1956	0	53739	103074	-19052	105244	24	62948	1000	1000	1000	1533616705	0	0	0	1000
11	2	1533616705	0	2	0	116386	-2317	0	52458	91987	-45256	104619	32	36267	1000	1000	1000	1533616705	0	0	0	1000
12	0	3753750	0	2	0	153176	-1398	0	66861	128445	-16642	129969	32	84851	1000	1000	1000	3753750	0	0	0	1000
13	0	3753750	0	2	0	189966	-479	0	81264	164903	11972	155319	32	133435	1000	1000	1000	3753750	0	0	0	1000
14	1	828965635	0	2	0	184598	-1624	0	80796	161138	-2818	155774	32	118724	1000	1000	1000	828965635	0	0	0	1000
15	1	828965635	0	2	0	179230	-2769	0	80328	157373	-17608	156229	32	104013	1000	1000	1000	828965635	0	0	0	1000
16	2	1533616705	0	2	0	175231	-3130	0	79047	146286	-43812	155604	40	77332	1000	1000	1000	1533616705	0	0	0	1000
17	2	1533616705	0	2	0	171232	-3491	0	77766	135199	-70016	154979	48	50651	1000	1000	1000	1533616705	0	0	0	1000
18	0	3753750	0	2	0	208022	-2572	0	92169	171657	-41402	180329	48	99235	1000	1000	1000	3753750	0	0	0	1000
19	0	3753750	0	2	0	244812	-1653	0	106572	208115	-12788	205679	48	147819	1000	1000	1000	3753750	0	0	0	1000
20	1	828965635	0	2	0	239444	-2798	0	106104	204350	-27578	206134	48	133108	1000	1000	1000	828965635	0	0	0	1000
21	1	828965635	0	2	0	234076	-3943	0	105636	200585	-42368	206589	48	118397	1000	1000	1000	828965635	0	0	0	1000
22	2	1533616705	0	2	0	230077	-4304	0	104355	189498	-68572	205964	56	91716	1000	1000	1000	1533616705	0	0	0	1000
23	2	1533616705	0	2	0	226078	-4665	0	103074	178411	-94776	205339	64	65035	1000	1000	1000	1533616705	0	0	0	1000
24	0	3753750	0	2	0	262868	-3746	0	117477	214869	-66162	230689	64	113619	1000	1000	1000	3753750	0	0	0	1000
25	0	3753750	0	2	0	299658	-2827	0	131880	251327	-37548	256039	64	162203	1000	1000	1000	3753750	0	0	0	1000
26	1	828965635	0	2	0	294290	-3972	0	131412	247562	-52338	256494	64	147492	1000	1000	1000	828965635	0	0	0	1000
27	1	828965635	0	2	0	288922	-5117	0	130944	243797	-67128	256949	64	132781	1000	1000	1000	828965635	0	0	0	1000
28	2	1533616705	0	2	0	284923	-5478	0	129663	232710	-93332	256324	72	106100	1000	1000	1000	1533616705	0	0	0	1000
29	2	1533616705	0	2	0	280924	-5839	0	128382	221623	-119536	255699	80	79419	1000	1000	1000	1533616705	0	0	0	1000
30	0	3753750	0	2	0	317714	-4920	0	142785	258081	-90922	281049	80	128003	1000	1000	1000	3753750	0	0	0	1000
31	0	3753750	0	2	0	354504	-4001	0	157188	294539	-62308	306399	80	176587	1000	1000	1000	3753750	0	0	0	1000
32	1	828965635	0	2	0	349136	-5146	0	156720	290774	-77098	306854	80	161876	1000	1000	1000	828965635	0	0	0	1000
33	1	828965635	0	2	0	343768	-6291	0	156252	287009	-91888	307309	80	147165	1000	1000	1000	828965635	0	0	0	1000
34	2	1533616705	0	2	0	339769	-6652	0	154971	275922	-118092	306684	88	120484	1000	1000	1000	1533616705	0	0	0	1000
35	2	1533616705	0	2	0	335770	-7013	0	153690	264835	-144296	306059	96	93803	1000	1000	1000	1533616705	0	0	0	1000
36	0	3753750	0	2	0	372560	-6094	0	168093	301293	-115682	331409	96	142387	1000	1000	1000	3753750	0	0	0	1000
37	0	3753750	0	2	0	409350	-5175	0	182496	337751	-87068	356759	96	190971	1000	1000	1000	3753750	0	0	0	1000
38	1	828965635	0	2	0	403982	-6320	0	182028	333986	-101858	357214	96	176260	1000	1000	1000	828965635	0	0	0	1000
39	1	828965635	0	2	0	398614	-7465	0	181560	330221	-116648	357669	96	161549	1000	1000	1000	828965635	0	0	0	1000
40	2	1533616705	0	2	0	394615	-7826	0	180279	319134	-142852	357044	104	134868	1000	1000	1000	1533616705	0	0	0	1000
41	2	1533616705	0	2	0	390616	-8187	0	178998	308047	-169056	356419	112	108187	1000	1000	1000	1533616705	0	0	0	1000
42	0	3753750	0	2	0	427406	-7268	0	193401	344505	-140442	381769	112	156771	1000	1000	1000	3753750	0	0	0	1000
