# prereg f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30 FROZEN v1; arm WC batch+trust-region
epoch	phase	loss	trbind	satbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
0	0	413952921	5	0	2000	1000	0	25	1000	1000	364	0	5000	1000	1000	1000
1	0	0	0	0	2000	1000	0	25	1000	1000	364	0	5000	1000	1000	1000
2	1	210000000	4	0	1000	55	0	-430	0	0	364	0	0	765	227	721
3	1	38408838	3	0	0	-406	0	-596	-1000	-1000	398	0	-4210	0	0	0
4	2	5000000	0	0	100	-399	0	-566	-900	-767	398	30	-3960	0	0	0
5	2	5000000	0	0	200	-392	0	-536	-800	-534	398	60	-3710	0	0	0
6	0	3750000000	7	0	1200	608	0	464	200	466	1398	60	1290	1000	1000	1000
7	0	0	0	0	1200	608	0	464	200	466	1398	60	1290	1000	1000	1000
8	1	210000000	4	0	200	-337	0	9	-800	-534	1398	60	-3710	0	0	0
9	1	35000000	3	0	1200	-287	0	759	200	341	2398	60	-1960	511	14	471
10	2	10000000	0	0	1050	-288	0	689	101	449	2148	90	-1960	511	14	471
11	2	10000000	0	0	900	-289	0	619	2	557	1898	120	-1960	506	14	466
12	0	1803056026	5	0	1900	711	0	661	1002	1557	2875	120	3040	1000	1000	1000
13	0	0	0	0	1900	711	0	661	1002	1557	2875	120	3040	1000	1000	1000
14	1	210000000	4	0	900	-234	0	206	2	557	2875	120	-1960	511	14	471
15	1	0	0	0	900	-234	0	206	2	557	2875	120	-1960	511	14	471
16	2	10000000	0	0	750	-235	0	136	-97	665	2625	150	-1960	511	14	471
17	2	10000000	0	0	600	-236	0	66	-196	773	2375	180	-1960	501	14	461
18	0	1802964222	7	0	1600	764	0	1066	804	1773	3375	180	3040	1000	1000	1000
19	0	0	0	0	1600	764	0	1066	804	1773	3375	180	3040	1000	1000	1000
20	1	210000000	4	0	600	-181	0	611	-196	773	3375	180	-1960	511	14	471
21	1	0	0	0	600	-181	0	611	-196	773	3375	180	-1960	511	14	471
22	2	10000000	0	0	450	-182	0	541	-295	881	3125	210	-1960	511	14	471
23	2	10000000	0	0	300	-183	0	471	-394	989	2875	240	-1960	510	14	470
24	0	1800346364	5	0	1300	817	0	506	606	1989	3065	240	3040	1000	1000	1000
25	0	0	0	0	1300	817	0	506	606	1989	3065	240	3040	1000	1000	1000
26	1	210000000	4	0	300	-128	0	51	-394	989	3065	240	-1960	511	14	471
27	1	0	0	0	300	-128	0	51	-394	989	3065	240	-1960	511	14	471
28	2	10000000	0	0	150	-129	0	-19	-493	1097	2815	270	-1960	437	14	402
29	2	10000000	0	0	0	-130	0	-89	-592	1205	2565	300	-1960	212	10	196
30	0	2601135277	7	0	1000	870	0	911	408	2205	3565	300	3040	1000	1000	1000
31	0	0	0	0	1000	870	0	911	408	2205	3565	300	3040	1000	1000	1000
32	1	210000000	4	0	0	-75	0	456	-592	1205	3565	300	-1960	511	14	471
33	1	0	0	0	0	-75	0	456	-592	1205	3565	300	-1960	511	14	471
34	2	10000000	0	0	-150	-76	0	386	-691	1313	3315	330	-1960	501	14	461
35	2	10000000	0	0	-300	-77	0	316	-790	1421	3065	360	-1960	374	13	344
36	0	2057271318	7	0	700	923	0	1316	210	2421	4065	360	3040	1000	1000	1000
37	0	0	0	0	700	923	0	1316	210	2421	4065	360	3040	1000	1000	1000
38	1	210000000	4	0	-300	-22	0	861	-790	1421	4065	360	-1960	511	14	471
39	1	0	0	0	-300	-22	0	861	-790	1421	4065	360	-1960	511	14	471
40	2	10000000	0	0	-450	-23	0	791	-889	1529	3815	390	-1960	507	14	467
41	2	10000000	0	0	-600	-24	0	721	-988	1637	3565	420	-1960	462	14	426
42	0	1868634118	7	0	400	976	0	1721	12	2637	4565	420	3040	1000	1000	1000
43	0	0	0	0	400	976	0	1721	12	2637	4565	420	3040	1000	1000	1000
44	1	210000000	4	0	-600	31	0	1266	-988	1637	4565	420	-1960	511	14	471
45	1	0	0	0	-600	31	0	1266	-988	1637	4565	420	-1960	511	14	471
46	2	10000000	0	0	-750	30	0	1196	-1087	1745	4315	450	-1960	508	14	468
47	2	10000000	0	0	-900	29	0	1126	-1186	1853	4065	480	-1960	496	14	457
48	0	1829012078	6	0	100	1029	0	1624	-186	2853	5065	480	3040	1000	1000	1000
49	0	0	0	0	100	1029	0	1624	-186	2853	5065	480	3040	1000	1000	1000
50	1	210000000	4	0	-900	84	0	1169	-1186	1853	5065	480	-1960	511	14	471
51	1	0	0	0	-900	84	0	1169	-1186	1853	5065	480	-1960	511	14	471
52	2	10000000	0	0	-1050	83	0	1099	-1285	1961	4815	510	-1960	509	14	469
53	2	10000000	0	0	-1200	82	0	1029	-1384	2069	4565	540	-1960	497	14	458
54	0	1825788016	6	0	-200	1082	0	1571	-384	3069	5565	540	3040	1000	1000	1000
55	0	0	0	0	-200	1082	0	1571	-384	3069	5565	540	3040	1000	1000	1000
56	1	210000000	4	0	-1200	137	0	1116	-1384	2069	5565	540	-1960	511	14	471
57	1	0	0	0	-1200	137	0	1116	-1384	2069	5565	540	-1960	511	14	471
58	2	10000000	0	0	-1350	136	0	1046	-1483	2177	5315	570	-1960	509	14	469
59	2	10000000	0	0	-1500	135	0	976	-1582	2285	5065	600	-1960	498	14	459
