# phon.tsv — hell-hole V5 joke-knowledge experiment store 4 of 4
# authoring: hand-authored classic joke homophone/sound-alike pairs (single subagent), 2026-09-24
# format: written \t alternate \t alt_meaning_cues(comma-separated) \t sounds like "<alternate>"
# entries: 150
aisle	isle	island,tropical,beach	sounds like "isle"
altar	alter	change,modify,wedding	sounds like "alter"
band	banned	forbidden,illegal,prohibited	sounds like "banned"
bare	bear	grizzly,forest,animal	sounds like "bear"
base	bass	fish,guitar,low	sounds like "bass"
be	bee	honey,stings,hive	sounds like "bee"
beach	beech	tree,forest,wood	sounds like "beech"
bean	been	was,done,before	sounds like "been"
berry	bury	funeral,grave,dead	sounds like "bury"
blue	blew	wind,blowing,gust	sounds like "blew"
board	bored	dull,tired,restless	sounds like "bored"
brake	break	rest,pause,vacation	sounds like "break"
by	buy	shop,purchase,store	sounds like "buy"
canon	cannon	gun,fire,weapon	sounds like "cannon"
carat	carrot	vegetable,orange,garden	sounds like "carrot"
cent	scent	smell,perfume,aroma	sounds like "scent"
cents	sense	logic,reason,meaning	sounds like "sense"
cereal	serial	episodes,show,number	sounds like "serial"
check	czech	prague,republic,europe	sounds like "czech"
chili	chilly	cold,freezing,shiver	sounds like "chilly"
cite	site	website,location,place	sounds like "site"
creak	creek	stream,water,babble	sounds like "creek"
currant	current	electricity,flow,now	sounds like "current"
dear	deer	antlers,forest,animal	sounds like "deer"
desert	dessert	cake,sweet,chocolate	sounds like "dessert"
dew	due	deadline,owed,payment	sounds like "due"
die	dye	color,hair,tint	sounds like "dye"
doe	dough	bread,bake,cookie	sounds like "dough"
draft	draught	beer,tap,ale	sounds like "draught"
ewe	you	pronoun,address,speaker	sounds like "you"
eye	i	myself,pronoun,self	sounds like "i"
fair	fare	taxi,ticket,cost	sounds like "fare"
fairy	ferry	boat,river,crossing	sounds like "ferry"
feat	feet	shoes,toes,walk	sounds like "feet"
few	phew	relief,exhale,tired	sounds like "phew"
find	fined	ticket,penalty,court	sounds like "fined"
flea	flee	run,escape,leave	sounds like "flee"
flour	flower	rose,bloom,garden	sounds like "flower"
flower	flour	bake,bread,kitchen	sounds like "flour"
fort	fought	battle,fight,war	sounds like "fought"
foul	fowl	chicken,bird,poultry	sounds like "fowl"
four	for	because,reason,purpose	sounds like "for"
genes	jeans	pants,denim,wear	sounds like "jeans"
gorilla	guerrilla	warfare,rebel,fighter	sounds like "guerrilla"
gouda	good	tasty,quality,nice	sounds like "good"
guest	guessed	answer,estimate,quiz	sounds like "guessed"
hair	hare	rabbit,bunny,hops	sounds like "hare"
hall	haul	carry,pull,drag	sounds like "haul"
heal	heel	foot,shoe,ankle	sounds like "heel"
hear	here	place,location,spot	sounds like "here"
hi	high	tall,up,elevation	sounds like "high"
him	hymn	church,sing,choir	sounds like "hymn"
hoarse	horse	saddle,gallop,ride	sounds like "horse"
holy	holey	holes,gap,empty	sounds like "holey"
hour	our	we,us,possessive	sounds like "our"
idle	idol	celebrity,fan,worship	sounds like "idol"
impasta	impostor	fake,spaghetti,pasta	sounds like "impostor"
in	inn	hotel,lodge,stay	sounds like "inn"
knead	need	want,require,must	sounds like "need"
knew	new	fresh,recent,modern	sounds like "new"
knight	night	dark,sleep,evening	sounds like "night"
knot	not	no,negative,denial	sounds like "not"
know	no	refusal,deny,negative	sounds like "no"
led	lead	pipe,metal,heavy	sounds like "lead"
lessen	lesson	class,teacher,school	sounds like "lesson"
lettuce	let us	in,freezing,cold,knock	sounds like "let us"
liar	lyre	music,harp,strings	sounds like "lyre"
loan	lone	alone,single,solitary	sounds like "lone"
made	maid	servant,hotel,clean	sounds like "maid"
mail	male	man,boy,masculine	sounds like "male"
main	mane	lion,hair,horse	sounds like "mane"
