ID	kind	byte_len	pos_marker	pos_byte_offset	neg_marker	neg_byte_offset
C_S0_001	S0	121	great	13	-	-1
C_S0_002	S0	124	-	-1	6 am	40
C_S0_003	S0	114	fantastic	9	-	-1
C_S0_004	S0	125	-	-1	monday	3
C_S0_005	S0	113	best	11	-	-1
C_S0_006	S0	130	-	-1	failed	11
C_S0_007	S0	123	perfect	15	-	-1
C_S0_008	S0	104	-	-1	awful	13
C_S0_009	S0	122	great	13	-	-1
C_S0_010	S0	111	-	-1	flat tire	9
C_S0_011	S0	109	fantastic	9	-	-1
C_S0_012	S0	120	-	-1	delayed	15
C_S1_001	S1	75	great	13	flat tire	27
C_S1_002	S1	77	wonderful	14	6 am	41
C_S1_003	S1	77	fantastic	16	delayed	32
C_S1_004	S1	72	love	2	monday	32
C_S1_005	S1	68	best	17	broke	31
C_S1_006	S1	76	brilliant	15	failed	34
C_S1_007	S1	72	perfect	14	terrible	28
C_S1_008	S1	66	awesome	13	awful	27
C_S1_009	S1	72	great	13	worst	29
C_S1_010	S1	73	wonderful	14	flat tire	32
C_S1_011	S1	87	fantastic	16	6 am	43
C_S1_012	S1	68	love	2	delayed	24
C_S1_013	S1	80	best	17	monday	36
C_S1_014	S1	70	brilliant	15	broke	34
C_S1_015	S1	74	perfect	14	failed	31
C_S1_016	S1	72	awesome	13	terrible	27
C_S1_017	S1	60	great	13	awful	25
C_S1_018	S1	67	wonderful	14	worst	34
C_S1_019	S1	77	fantastic	16	flat tire	34
C_S1_020	S1	76	love	2	6 am	35
C_S1_021	S1	70	best	17	delayed	28
C_S1_022	S1	81	brilliant	15	monday	39
C_S1_023	S1	66	perfect	14	broke	31
C_S1_024	S1	72	awesome	13	failed	30
C_S2_001	S2	2290	great	13	flat tire	418
C_S2_002	S2	2336	wonderful	14	failed	472
C_S2_003	S2	2349	fantastic	9	6 am	518
C_S2_004	S2	2410	love	2	terrible	556
C_S2_005	S2	2003	best	11	delayed	615
C_S2_006	S2	2080	brilliant	15	awful	674
C_S2_007	S2	2243	perfect	15	monday	372
C_S2_008	S2	2379	awesome	26	worst	533
C_S2_009	S2	2200	great	13	broke	818
C_S2_010	S2	2290	wonderful	14	flat tire	873
C_S2_011	S2	2361	fantastic	9	failed	918
C_S2_012	S2	2352	love	2	6 am	956
C_S2_013	S2	2391	best	11	terrible	1015
C_S2_014	S2	2072	brilliant	15	delayed	1074
C_S2_015	S2	2208	perfect	15	awful	772
C_S2_016	S2	2387	awesome	26	monday	933
C_S2_017	S2	2131	great	13	worst	1218
C_S2_018	S2	2242	wonderful	14	broke	1273
C_S2_019	S2	2354	fantastic	9	flat tire	1318
C_S2_020	S2	2338	love	2	failed	1356
C_S2_021	S2	2317	best	11	6 am	1415
C_S2_022	S2	2478	brilliant	15	terrible	1474
C_S2_023	S2	2208	perfect	15	delayed	1172
C_S2_024	S2	2205	awesome	26	awful	1233
C_S3_001	S3	2613	great	14	monday	2069
C_S3_002	S3	2559	wonderful	19	6 am	2078
C_S3_003	S3	2529	fantastic	9	worst	2068
C_S3_004	S3	2607	love	2	terrible	2056
C_S3_005	S3	2552	best	11	broke	2065
C_S3_006	S3	2605	brilliant	19	delayed	2078
C_S3_007	S3	2581	perfect	16	flat tire	2073
C_S3_008	S3	2547	awesome	34	awful	2091
C_S3_009	S3	2629	great	14	failed	2069
C_S3_010	S3	2564	wonderful	19	monday	2078
C_S3_011	S3	2584	fantastic	9	6 am	2067
C_S3_012	S3	2556	love	2	worst	2056
C_S3_013	S3	2529	best	11	terrible	2065
C_S3_014	S3	2629	brilliant	19	broke	2078
C_S3_015	S3	2555	perfect	16	delayed	2073
C_S3_016	S3	2669	awesome	34	flat tire	2091
C_L_001	L-S2	24161	great	13	6 am	918
C_L_002	L-S2	24220	wonderful	14	broke	923
C_L_003	L-S3	24088	fantastic	9	awful	2068
C_L_004	L-S3	24139	love	2	6 am	2056
