wikt:en:apple:noun:1	a round fruit that grows on trees
wikt:en:paris:propn:1	the capital city of france
wikt:en:water:noun:1	a clear colorless liquid
wikt:en:gold:noun:1	a precious yellow metal
wikt:en:dog:noun:1	a domesticated carnivorous mammal
sw:rthon0000	Water boils at 100 degrees Celsius at sea level, note 0.
sw:rthon0001	Water boils at 100 degrees Celsius at sea level, note 1.
sw:rthon0002	Water boils at 100 degrees Celsius at sea level, note 2.
sw:rthon0003	Water boils at 100 degrees Celsius at sea level, note 3.
sw:rthon0004	Water boils at 100 degrees Celsius at sea level, note 4.
wn:rthonw0000.n.01:rthonw0000	a domesticated mammal kept as a pet
wn:rthonw0001.n.01:rthonw0001	a domesticated mammal kept as a pet
wn:rthonw0002.n.01:rthonw0002	a domesticated mammal kept as a pet
wn:rthonw0003.n.01:rthonw0003	a domesticated mammal kept as a pet
wn:rthonw0004.n.01:rthonw0004	a domesticated mammal kept as a pet
wikt:en:rthonv0000:verb:1	rthonv0000 means to move swiftly on foot
wikt:en:rthonv0001:verb:1	rthonv0001 means to move swiftly on foot
wikt:en:rthonv0002:verb:1	rthonv0002 means to move swiftly on foot
wikt:en:rthonv0003:verb:1	rthonv0003 means to move swiftly on foot
wikt:en:rthonv0004:verb:1	rthonv0004 means to move swiftly on foot
