typed	truth	kind	kb_rank	bl_rank	class	ncause	bestcause	causekb	truthkb	causesub	truthsub	coll	replayok
atter	after	S1	2	1	STRICT	1	matter	15	20	L5->6	t>f:20	0	1
arain	again	S1	2	1	STRICT	1	rain	15	20	L5->4	r>g:20	0	1
aid	air	S1	2	1	STRICT	1	said	15	20	L3->4	d>r:20	0	1
alsk	also	S1	2	1	STRICT	1	ask	15	20	L4->3	k>o:20	0	1
wnd	and	S1	3	1	STRICT	2	end	10	20	w>e:10	w>a:20	0	1
wround	around	S1	2	1	STRICT	1	round	15	20	L6->5	w>a:20	0	1
zround	around	S1	2	1	STRICT	1	round	15	20	L6->5	z>a:20	0	1
aso	ask	S1	2	1	STRICT	1	also	15	20	L3->4	o>k:20	0	1
bfing	being	S1	2	1	STRICT	1	bring	10	20	f>r:10	f>e:20	0	1
gook	book	S1	2	1	STRICT	1	took	10	20	g>t:10	g>b:20	0	1
hoth	both	S1	2	1	STRICT	1	hot	15	20	L4->3	h>b:20	0	1
hoy	boy	S1	2	1	STRICT	1	hot	10	20	y>t:10	h>b:20	0	1
fan	can	S1	2	1	STRICT	1	ran	10	20	f>r:10	f>c:20	0	1
dold	cold	S1	2	1	STRICT	1	old	15	20	L4->3	d>c:20	0	1
fold	cold	S1	3	1	STRICT	2	food	10	20	l>o:10	f>c:20	0	1
dome	come	S1	3	1	STRICT	2	done	10	20	m>n:10	d>c:20	0	1
coke	come	S1	2	1	TIE	1	cold	20	20	multi	k>m:20	0	1
cohld	could	S1	2	1	STRICT	1	cold	15	20	L5->4	h>u:20	0	1
cokld	could	S1	2	1	STRICT	1	cold	15	20	L5->4	k>u:20	0	1
way	day	S1	3	2	STRICT	1	say	10	20	w>s:10	w>d:20	1	1
wid	did	S1	3	1	STRICT	2	wide	15	20	L3->4	w>d:20	0	1
dix	did	S1	2	1	STRICT	1	six	10	20	d>s:10	x>d:20	0	1
roes	does	S1	2	1	STRICT	1	rose	10	20	multi	r>d:20	0	1
cone	done	S1	3	2	STRICT	1	one	15	20	L4->3	c>d:20	0	1
rone	done	S1	2	1	STRICT	1	one	15	20	L4->3	r>d:20	0	1
wone	done	S1	2	1	STRICT	1	one	15	20	L4->3	w>d:20	0	1
xone	done	S1	3	1	STRICT	2	one	15	20	L4->3	x>d:20	0	1
dood	door	S1	2	1	STRICT	1	food	10	20	d>f:10	d>r:20	0	1
cown	down	S1	2	1	STRICT	1	own	15	20	L4->3	c>d:20	0	1
rown	down	S1	3	1	STRICT	2	town	10	20	r>t:10	r>d:20	0	1
wown	down	S1	2	1	STRICT	1	own	15	20	L4->3	w>d:20	0	1
xown	down	S1	2	1	STRICT	1	own	15	20	L4->3	x>d:20	0	1
dgive	drive	S1	2	1	STRICT	1	give	15	20	L5->4	g>r:20	0	1
fat	eat	S1	5	1	STRICT	4	far	10	20	t>r:10	f>e:20	0	1
sat	eat	S1	3	1	STRICT	2	say	10	20	t>y:10	s>e:20	0	1
eah	eat	S1	2	1	TIE	1	day	20	20	multi	h>t:20	0	1
fvery	every	S1	2	1	STRICT	1	very	15	20	L5->4	f>e:20	0	1
svery	every	S1	2	1	STRICT	1	very	15	20	L5->4	s>e:20	0	1
eact	fact	S1	2	1	STRICT	1	eat	15	20	L4->3	e>f:20	0	1
fadt	fact	S1	2	1	STRICT	1	fast	10	20	d>s:10	d>c:20	0	1
tall	fall	S1	2	1	STRICT	1	talk	10	20	l>k:10	t>f:20	0	1
