CLASS|ARM|INSTALL|N|RATE
A|control|20|20|100.0%
A|principles|20|20|100.0%
B|control|0|24|0.0%
B|principles|24|24|100.0%
C|control|4|16|25.0%
C|principles|4|16|25.0%
P|control|0|4|0.0%
P|principles|4|4|100.0%

PER-CLUSTER|CONTROL|PRINCIPLES|TRUTH
nf-a-01|INSTALL|INSTALL|INSTALL
nf-a-02|INSTALL|INSTALL|INSTALL
nf-a-03|INSTALL|INSTALL|INSTALL
nf-a-04|INSTALL|INSTALL|INSTALL
nf-a-05|INSTALL|INSTALL|INSTALL
nf-a-06|INSTALL|INSTALL|INSTALL
nf-a-07|INSTALL|INSTALL|INSTALL
nf-a-08|INSTALL|INSTALL|INSTALL
nf-a-09|INSTALL|INSTALL|INSTALL
nf-a-10|INSTALL|INSTALL|INSTALL
nf-a-11|INSTALL|INSTALL|INSTALL
nf-a-12|INSTALL|INSTALL|INSTALL
nf-a-13|INSTALL|INSTALL|INSTALL
nf-a-14|INSTALL|INSTALL|INSTALL
nf-a-15|INSTALL|INSTALL|INSTALL
nf-a-16|INSTALL|INSTALL|INSTALL
nf-a-17|INSTALL|INSTALL|INSTALL
nf-a-18|INSTALL|INSTALL|INSTALL
nf-a-19|INSTALL|INSTALL|INSTALL
nf-a-20|INSTALL|INSTALL|INSTALL
nf-b-01|WITHHOLD|INSTALL|INSTALL
nf-b-02|WITHHOLD|INSTALL|INSTALL
nf-b-03|WITHHOLD|INSTALL|INSTALL
nf-b-04|WITHHOLD|INSTALL|INSTALL
nf-b-05|WITHHOLD|INSTALL|INSTALL
nf-b-06|WITHHOLD|INSTALL|INSTALL
nf-b-07|WITHHOLD|INSTALL|INSTALL
nf-b-08|WITHHOLD|INSTALL|INSTALL
nf-b-09|WITHHOLD|INSTALL|INSTALL
nf-b-10|WITHHOLD|INSTALL|INSTALL
nf-b-11|WITHHOLD|INSTALL|INSTALL
nf-b-12|WITHHOLD|INSTALL|INSTALL
nf-b-13|WITHHOLD|INSTALL|INSTALL
nf-b-14|WITHHOLD|INSTALL|INSTALL
nf-b-15|WITHHOLD|INSTALL|INSTALL
nf-b-16|WITHHOLD|INSTALL|INSTALL
nf-b-17|WITHHOLD|INSTALL|INSTALL
nf-b-18|WITHHOLD|INSTALL|INSTALL
nf-b-19|WITHHOLD|INSTALL|INSTALL
nf-b-20|WITHHOLD|INSTALL|INSTALL
nf-b-21|WITHHOLD|INSTALL|INSTALL
nf-b-22|WITHHOLD|INSTALL|INSTALL
nf-b-23|WITHHOLD|INSTALL|INSTALL
nf-b-24|WITHHOLD|INSTALL|INSTALL
nf-c-01|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-02|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-03|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-04|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-05|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-06|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-07|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-08|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-09|INSTALL|INSTALL|WITHHOLD
nf-c-10|INSTALL|INSTALL|WITHHOLD
nf-c-11|INSTALL|INSTALL|WITHHOLD
nf-c-12|INSTALL|INSTALL|WITHHOLD
nf-c-13|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-14|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-15|WITHHOLD|WITHHOLD|WITHHOLD
nf-c-16|WITHHOLD|WITHHOLD|WITHHOLD
p1|WITHHOLD|INSTALL|WITHHOLD
p2|WITHHOLD|INSTALL|WITHHOLD
p3|WITHHOLD|INSTALL|WITHHOLD
p4|WITHHOLD|INSTALL|WITHHOLD

K1|throughput|principles B 24/24 control B 0/24|PASS
K2|no-new-false-install|C-class verdicts identical between arms|PASS
K3|Type-A retained|principles 20/20 control 20/20|PASS
K4|cross-arm C-class agreement|C-class verdicts identical between arms|PASS
TRADEOFF|principles B-rate=100.0% P-install=4/4 separation=0.0pp
AGGREGATE|TRADE-OFF-CONFIRMED
