R30_00: block=R level=0.3 twin=S1A stip_gold=Marco Venn rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R30_01: block=R level=0.3 twin=S1B stip_gold=Dario Mensah rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R30_02: block=R level=0.3 twin=S1B stip_gold=Tomas Reyes rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R30_03: block=R level=0.3 twin=S1B stip_gold=Kwame Diallo rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R30_04: block=R level=0.3 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R30_05: block=R level=0.3 twin=S1B stip_gold=Elena Vasquez rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R30_06: block=R level=0.3 twin=S1B stip_gold=Luis Okafor rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R30_07: block=R level=0.3 twin=S1A stip_gold=Petra Halvorsen rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R30_08: block=R level=0.3 twin=S1B stip_gold=Tomas Reyes rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R30_09: block=R level=0.3 twin=S1B stip_gold=Kwame Diallo rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R30_10: block=R level=0.3 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R30_11: block=R level=0.3 twin=S1B stip_gold=Elena Vasquez rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R30_12: block=R level=0.3 twin=S1B stip_gold=Luis Okafor rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R30_13: block=R level=0.3 twin=S1B stip_gold=Dario Mensah rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R30_14: block=R level=0.3 twin=S1A stip_gold=Ines Kovac rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R30_15: block=R level=0.3 twin=S1B stip_gold=Kwame Diallo rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R30_16: block=R level=0.3 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R30_17: block=R level=0.3 twin=S1A stip_gold=Ravi Chandran rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R30_18: block=R level=0.3 twin=S1B stip_gold=Luis Okafor rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R30_19: block=R level=0.3 twin=S1B stip_gold=Dario Mensah rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R40_00: block=R level=0.4 twin=S1A stip_gold=Ines Kovac rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R40_01: block=R level=0.4 twin=S1B stip_gold=Kwame Diallo rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R40_02: block=R level=0.4 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R40_03: block=R level=0.4 twin=S1A stip_gold=Ravi Chandran rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R40_04: block=R level=0.4 twin=S1B stip_gold=Luis Okafor rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R40_05: block=R level=0.4 twin=S1A stip_gold=Petra Halvorsen rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R40_06: block=R level=0.4 twin=S1B stip_gold=Tomas Reyes rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
