# Frozen synonym lexicon for leg-(e) probe transform B1 (single-word synonym swap).
# Dated 2026-09-22. Committed as a pre-run artifact per frozen PREREG §11.
# Format: one pair per line, "word -> synonym". Every pair is same part of
# speech and meaning-preserving in ordinary prose by construction (audited
# 2026-09-22; ambiguous/POS-shifting/hypernym pairs removed). The transform
# scans the sentence left to right and applies the first lexicon entry whose
# key matches a whole word (case-insensitive); exactly one swap per sentence.
# '#' starts a comment.
# --- nouns ---
house -> home
home -> house
car -> automobile
dog -> hound
child -> kid
book -> volume
story -> tale
road -> street
town -> village
city -> metropolis
king -> monarch
ship -> vessel
sea -> ocean
forest -> woods
river -> stream
garden -> yard
flower -> blossom
horse -> steed
fire -> flame
night -> nighttime
morning -> dawn
evening -> dusk
sun -> sunshine
sky -> heavens
cloud -> mist
rain -> rainfall
snow -> snowfall
wind -> breeze
storm -> tempest
food -> meal
bread -> loaf
money -> cash
job -> work
school -> academy
church -> chapel
doctor -> physician
teacher -> instructor
friend -> companion
enemy -> foe
stranger -> outsider
guest -> visitor
crowd -> throng
army -> troops
battle -> fight
war -> warfare
peace -> tranquility
anger -> rage
joy -> delight
sorrow -> grief
pain -> ache
smile -> grin
voice -> tone
sound -> noise
song -> melody
music -> tune
picture -> painting
word -> term
question -> query
idea -> notion
thought -> reflection
plan -> scheme
problem -> dilemma
mistake -> error
truth -> verity
lie -> falsehood
secret -> mystery
journey -> voyage
trip -> excursion
path -> trail
door -> portal
window -> pane
wall -> partition
roof -> rooftop
room -> chamber
bed -> cot
chair -> seat
table -> desk
clothes -> garments
hat -> cap
coat -> jacket
dress -> gown
tool -> instrument
key -> latchkey
box -> crate
bag -> sack
bottle -> flask
cup -> mug
plate -> dish
knife -> blade
rope -> cord
chain -> fetter
bridge -> span
tower -> turret
castle -> fortress
palace -> mansion
hut -> shack
shop -> store
market -> bazaar
office -> bureau
factory -> mill
farm -> homestead
lake -> pond
island -> isle
shore -> coast
beach -> strand
valley -> dale
hill -> knoll
rock -> stone
sand -> grit
dust -> powder
smoke -> fumes
ash -> cinder
ice -> frost
steam -> vapor
wood -> timber
paper -> parchment
cloth -> fabric
silk -> satin
wool -> fleece
leather -> hide
glass -> crystal
mirror -> lookingglass
clock -> timepiece
lamp -> lantern
candle -> taper
bell -> chime
piano -> pianoforte
violin -> fiddle
page -> folio
pen -> quill
ink -> dye
map -> chart
flag -> banner
crown -> diadem
sword -> saber
shield -> buckler
arrow -> shaft
spear -> lance
helmet -> helm
uniform -> livery
robe -> vestment
mask -> veil
ring -> band
jewel -> gem
coin -> specie
treasure -> trove
chest -> coffer
throne -> dais
scepter -> wand
altar -> shrine
temple -> sanctuary
monument -> memorial
statue -> effigy
tomb -> sepulcher
coffin -> casket
ghost -> specter
demon -> fiend
giant -> ogre
