trial	name	blocked	v1	v2	v3	quorum_verdict
1	rt4_TMB-5_0000.r24	1	1	1	1	WITHHOLD
2	rt4_TMB-5_0001.r24	1	1	1	1	WITHHOLD
3	rt4_TMB-5_0002.r24	1	1	1	1	WITHHOLD
4	rt4_TMB-5_0003.r24	1	1	0	0	CONFIRM_INSTALL
5	rt4_TMB-5_0004.r24	1	0	0	0	CONFIRM_INSTALL
6	rt4_TMB-5_0005.r24	0	0	0	0	-
7	rt4_TMB-5_0006.r24	0	0	0	0	-
8	rt4_TMB-5_0007.r24	0	0	0	0	-
9	rt4_TMB-5_0008.r24	0	0	0	0	-
10	rt4_TMB-5_0009.r24	0	0	0	0	-
11	rt4_TMB-5_0010.r24	1	1	1	1	WITHHOLD
12	rt4_TMB-5_0011.r24	1	1	1	1	WITHHOLD
13	rt4_TMB-5_0012.r24	1	1	1	1	WITHHOLD
14	rt4_TMB-5_0013.r24	1	1	0	0	CONFIRM_INSTALL
15	rt4_TMB-5_0014.r24	1	0	0	0	CONFIRM_INSTALL
16	rt4_TMB-5_0015.r24	0	0	0	0	-
17	rt4_TMB-5_0016.r24	0	0	0	0	-
18	rt4_TMB-5_0017.r24	0	0	0	0	-
19	rt4_TMB-5_0018.r24	0	0	0	0	-
20	rt4_TMB-5_0019.r24	0	0	0	0	-
21	rt4_TMB-5_0020.r24	1	1	1	1	WITHHOLD
22	rt4_TMB-5_0021.r24	1	1	1	1	WITHHOLD
23	rt4_TMB-5_0022.r24	1	1	1	1	WITHHOLD
24	rt4_TMB-5_0023.r24	1	1	0	0	CONFIRM_INSTALL
25	rt4_TMB-5_0024.r24	1	0	0	0	CONFIRM_INSTALL
26	rt4_TMB-5_0025.r24	0	0	0	0	-
27	rt4_TMB-5_0026.r24	0	0	0	0	-
28	rt4_TMB-5_0027.r24	0	0	0	0	-
29	rt4_TMB-5_0028.r24	0	0	0	0	-
30	rt4_TMB-5_0029.r24	0	0	0	0	-
31	rt4_TMB-5_0030.r24	1	1	1	1	WITHHOLD
32	rt4_TMB-5_0031.r24	1	1	1	1	WITHHOLD
33	rt4_TMB-5_0032.r24	1	1	1	1	WITHHOLD
34	rt4_TMB-5_0033.r24	1	1	0	0	CONFIRM_INSTALL
35	rt4_TMB-5_0034.r24	1	0	0	0	CONFIRM_INSTALL
36	rt4_TMB-5_0035.r24	0	0	0	0	-
37	rt4_TMB-5_0036.r24	0	0	0	0	-
38	rt4_TMB-5_0037.r24	0	0	0	0	-
39	rt4_TMB-5_0038.r24	0	0	0	0	-
40	rt4_TMB-5_0039.r24	0	0	0	0	-
41	rt4_TMB-5_0040.r24	1	1	1	1	WITHHOLD
42	rt4_TMB-5_0041.r24	1	1	1	1	WITHHOLD
43	rt4_TMB-5_0042.r24	1	1	1	1	WITHHOLD
44	rt4_TMB-5_0043.r24	1	1	0	0	CONFIRM_INSTALL
45	rt4_TMB-5_0044.r24	1	0	0	0	CONFIRM_INSTALL
46	rt4_TMB-5_0045.r24	0	0	0	0	-
47	rt4_TMB-5_0046.r24	0	0	0	0	-
48	rt4_TMB-5_0047.r24	0	0	0	0	-
49	rt4_TMB-5_0048.r24	0	0	0	0	-
50	rt4_TMB-5_0049.r24	0	0	0	0	-
51	rt4_TMB-5_0050.r24	1	1	1	1	WITHHOLD
52	rt4_TMB-5_0051.r24	1	1	1	1	WITHHOLD
53	rt4_TMB-5_0052.r24	1	1	1	1	WITHHOLD
54	rt4_TMB-5_0053.r24	1	1	0	0	CONFIRM_INSTALL
55	rt4_TMB-5_0054.r24	1	0	0	0	CONFIRM_INSTALL
56	rt4_TMB-5_0055.r24	0	0	0	0	-
57	rt4_TMB-5_0056.r24	0	0	0	0	-
58	rt4_TMB-5_0057.r24	0	0	0	0	-
59	rt4_TMB-5_0058.r24	0	0	0	0	-
60	rt4_TMB-5_0059.r24	0	0	0	0	-
61	rt4_TMB-5_0060.r24	1	1	1	1	WITHHOLD
62	rt4_TMB-5_0061.r24	1	1	1	1	WITHHOLD
63	rt4_TMB-5_0062.r24	1	1	1	1	WITHHOLD
64	rt4_TMB-5_0063.r24	1	1	0	0	CONFIRM_INSTALL
65	rt4_TMB-5_0064.r24	1	0	0	0	CONFIRM_INSTALL
66	rt4_TMB-5_0065.r24	0	0	0	0	-
67	rt4_TMB-5_0066.r24	0	0	0	0	-
68	rt4_TMB-5_0067.r24	0	0	0	0	-
69	rt4_TMB-5_0068.r24	0	0	0	0	-
70	rt4_TMB-5_0069.r24	0	0	0	0	-
71	rt4_TMB-5_0070.r24	1	1	1	1	WITHHOLD
72	rt4_TMB-5_0071.r24	1	1	1	1	WITHHOLD
73	rt4_TMB-5_0072.r24	1	1	1	1	WITHHOLD
74	rt4_TMB-5_0073.r24	1	1	0	0	CONFIRM_INSTALL
75	rt4_TMB-5_0074.r24	1	0	0	0	CONFIRM_INSTALL
76	rt4_TMB-5_0075.r24	0	0	0	0	-
77	rt4_TMB-5_0076.r24	0	0	0	0	-
78	rt4_TMB-5_0077.r24	0	0	0	0	-
79	rt4_TMB-5_0078.r24	0	0	0	0	-
80	rt4_TMB-5_0079.r24	0	0	0	0	-
81	rt4_TMB-5_0080.r24	1	1	1	1	WITHHOLD
82	rt4_TMB-5_0081.r24	1	1	1	1	WITHHOLD
83	rt4_TMB-5_0082.r24	1	1	1	1	WITHHOLD
84	rt4_TMB-5_0083.r24	1	1	0	0	CONFIRM_INSTALL
85	rt4_TMB-5_0084.r24	1	0	0	0	CONFIRM_INSTALL
86	rt4_TMB-5_0085.r24	0	0	0	0	-
87	rt4_TMB-5_0086.r24	0	0	0	0	-
