ep	step	tier
NOV-S01	0	4
NOV-S01	1	4
NOV-S01	2	4
NOV-S01	3	4
NOV-S01	4	4
NOV-S01	5	4
NOV-S01	6	4
NOV-S01	7	4
NOV-S01	8	4
NOV-S01	9	4
NOV-S01	10	4
NOV-S01	11	4
NOV-S01	12	4
NOV-S01	13	4
NOV-S01	14	4
NOV-S01	15	4
NOV-S01	16	4
NOV-S01	17	4
NOV-S01	18	4
NOV-S01	19	4
NOV-S01	20	4
NOV-S01	21	4
NOV-S01	22	4
NOV-S01	23	4
NOV-S01	24	4
NOV-S01	25	4
NOV-S01	26	4
NOV-S01	27	4
NOV-S01	28	4
NOV-S01	29	4
NOV-S01	30	4
NOV-S01	31	4
NOV-S01	32	4
NOV-S01	33	4
NOV-S01	34	4
NOV-S01	35	4
NOV-S01	36	4
NOV-S01	37	4
NOV-S01	38	4
NOV-S01	39	4
NOV-S01	40	4
NOV-S01	41	4
NOV-S01	42	4
NOV-S01	43	4
NOV-S01	44	4
NOV-S01	45	4
NOV-S01	46	4
NOV-S01	47	4
NOV-S01	48	4
NOV-S01	49	4
NOV-S01	50	4
NOV-S01	51	4
NOV-S01	52	4
NOV-S01	53	4
NOV-S01	54	4
NOV-S01	55	4
NOV-S01	56	4
NOV-S01	57	4
NOV-S01	58	4
NOV-S01	59	4
NOV-S01	60	4
NOV-S01	61	4
NOV-S01	62	4
NOV-S01	63	4
NOV-S01	64	4
NOV-S01	65	4
NOV-S01	66	4
NOV-S01	67	4
NOV-S01	68	4
NOV-S01	69	4
NOV-S01	70	4
NOV-S01	71	4
NOV-S01	72	4
NOV-S01	73	4
NOV-S01	74	4
NOV-S01	75	4
NOV-S01	76	4
NOV-S01	77	4
NOV-S01	78	4
NOV-S01	79	4
NOV-S01	80	4
NOV-S01	81	4
NOV-S01	82	4
NOV-S01	83	1
NOV-S01	84	1
NOV-S01	85	1
NOV-S01	86	1
NOV-S01	87	1
NOV-S01	88	1
NOV-S02	0	4
NOV-S02	1	4
NOV-S02	2	4
NOV-S02	3	4
NOV-S02	4	4
NOV-S02	5	4
NOV-S02	6	4
NOV-S02	7	4
NOV-S02	8	4
NOV-S02	9	4
NOV-S02	10	4
NOV-S02	11	4
NOV-S02	12	4
NOV-S02	13	4
NOV-S02	14	4
NOV-S02	15	4
NOV-S02	16	4
NOV-S02	17	4
NOV-S02	18	4
NOV-S02	19	4
NOV-S02	20	4
NOV-S02	21	4
NOV-S02	22	4
NOV-S02	23	4
NOV-S02	24	4
NOV-S02	25	4
NOV-S02	26	4
NOV-S02	27	4
NOV-S02	28	4
NOV-S02	29	4
NOV-S02	30	4
NOV-S02	31	4
NOV-S02	32	4
NOV-S02	33	4
NOV-S02	34	4
NOV-S02	35	4
NOV-S02	36	4
NOV-S02	37	4
NOV-S02	38	4
NOV-S02	39	4
NOV-S02	40	4
NOV-S02	41	4
NOV-S02	42	4
NOV-S02	43	4
NOV-S02	44	4
NOV-S02	45	4
NOV-S02	46	4
NOV-S02	47	4
NOV-S02	48	4
NOV-S02	49	4
NOV-S02	50	4
NOV-S02	51	4
NOV-S02	52	4
NOV-S02	53	4
NOV-S02	54	4
NOV-S02	55	4
NOV-S02	56	4
NOV-S02	57	4
NOV-S02	58	4
NOV-S02	59	4
NOV-S02	60	4
NOV-S02	61	4
NOV-S02	62	4
NOV-S02	63	4
NOV-S02	64	4
NOV-S02	65	4
