ep	step	tier
HON-001	0	4
HON-001	1	4
HON-001	2	4
HON-001	3	4
HON-001	4	4
HON-001	5	4
HON-001	6	4
HON-001	7	4
HON-001	8	4
HON-001	9	4
HON-001	10	4
HON-001	11	4
HON-001	12	4
HON-001	13	4
HON-001	14	4
HON-001	15	4
HON-001	16	4
HON-001	17	4
HON-001	18	4
HON-001	19	4
HON-001	20	4
HON-001	21	4
HON-001	22	4
HON-001	23	4
HON-001	24	4
HON-001	25	4
HON-001	26	4
HON-001	27	4
HON-001	28	4
HON-001	29	4
HON-001	30	4
HON-001	31	4
HON-001	32	4
HON-001	33	4
HON-001	34	4
HON-001	35	4
HON-001	36	4
HON-001	37	4
HON-001	38	4
HON-001	39	4
HON-001	40	4
HON-001	41	4
HON-001	42	4
HON-001	43	4
HON-001	44	4
HON-001	45	4
HON-001	46	4
HON-001	47	4
HON-001	48	4
HON-001	49	4
HON-001	50	4
HON-001	51	4
HON-001	52	4
HON-001	53	4
HON-001	54	4
HON-001	55	4
HON-001	56	4
HON-001	57	4
HON-001	58	4
HON-001	59	4
HON-001	60	4
HON-001	61	4
HON-001	62	4
HON-001	63	4
HON-001	64	4
HON-001	65	4
HON-001	66	4
HON-001	67	4
HON-001	68	4
HON-001	69	4
HON-001	70	4
HON-001	71	4
HON-001	72	4
HON-001	73	4
HON-001	74	4
HON-001	75	4
HON-001	76	4
HON-001	77	4
HON-001	78	4
HON-001	79	4
HON-002	0	4
HON-002	1	4
HON-002	2	4
HON-002	3	4
HON-002	4	4
HON-002	5	4
HON-002	6	4
HON-002	7	4
HON-002	8	4
HON-002	9	4
HON-002	10	4
HON-002	11	4
HON-002	12	4
HON-002	13	4
HON-002	14	4
HON-002	15	4
HON-002	16	4
HON-002	17	4
HON-002	18	4
HON-002	19	4
HON-002	20	4
HON-002	21	4
HON-002	22	4
HON-002	23	4
HON-002	24	4
HON-002	25	4
HON-002	26	4
HON-002	27	4
HON-002	28	4
HON-002	29	4
HON-002	30	4
HON-002	31	4
HON-002	32	4
HON-002	33	4
HON-002	34	4
HON-002	35	4
HON-002	36	4
HON-002	37	4
HON-002	38	4
HON-002	39	4
HON-002	40	4
HON-002	41	4
HON-002	42	4
HON-002	43	4
HON-002	44	4
HON-002	45	4
HON-002	46	4
HON-002	47	4
HON-002	48	4
HON-002	49	4
HON-002	50	4
HON-002	51	4
HON-002	52	4
HON-002	53	4
HON-002	54	4
HON-002	55	4
HON-002	56	4
HON-002	57	4
HON-002	58	4
HON-002	59	4
HON-002	60	4
HON-002	61	4
HON-002	62	4
HON-002	63	4
HON-002	64	4
HON-002	65	4
HON-002	66	4
HON-002	67	4
HON-002	68	4
HON-002	69	4
HON-002	70	4
HON-002	71	4
HON-002	72	4
HON-002	73	4
HON-002	74	4
HON-002	75	4
HON-002	76	4
HON-002	77	4
HON-002	78	4
HON-002	79	4
HON-003	0	4
HON-003	1	4
HON-003	2	4
HON-003	3	4
HON-003	4	4
HON-003	5	4
HON-003	6	4
HON-003	7	4
HON-003	8	4
HON-003	9	4
HON-003	10	4
HON-003	11	4
HON-003	12	4
HON-003	13	4
HON-003	14	4
HON-003	15	4
HON-003	16	4
HON-003	17	4
HON-003	18	4
HON-003	19	4
HON-003	20	4
HON-003	21	4
HON-003	22	4
HON-003	23	4
HON-003	24	4
HON-003	25	4
HON-003	26	4
HON-003	27	4
HON-003	28	4
HON-003	29	4
HON-003	30	4
HON-003	31	4
HON-003	32	4
HON-003	33	4
HON-003	34	4
HON-003	35	4
HON-003	36	4
HON-003	37	4
HON-003	38	4
HON-003	39	4
HON-003	40	4
HON-003	41	4
HON-003	42	4
HON-003	43	4
HON-003	44	4
HON-003	45	4
HON-003	46	4
HON-003	47	4
HON-003	48	4
HON-003	49	4
HON-003	50	4
HON-003	51	4
HON-003	52	4
HON-003	53	4
HON-003	54	4
HON-003	55	4
HON-003	56	4
HON-003	57	4
HON-003	58	4
HON-003	59	4
HON-003	60	4
HON-003	61	4
HON-003	62	4
HON-003	63	4
HON-003	64	4
HON-003	65	4
HON-003	66	4
HON-003	67	4
HON-003	68	4
HON-003	69	4
HON-003	70	4
HON-003	71	4
HON-003	72	4
HON-003	73	4
HON-003	74	4
HON-003	75	4
HON-003	76	4
HON-003	77	4
HON-003	78	4
HON-003	79	4
HON-004	0	4
HON-004	1	4
HON-004	2	4
HON-004	3	4
HON-004	4	4
HON-004	5	4
HON-004	6	4
HON-004	7	4
HON-004	8	4
HON-004	9	4
HON-004	10	4
HON-004	11	4
HON-004	12	4
HON-004	13	4
HON-004	14	4
HON-004	15	4
HON-004	16	4
HON-004	17	4
HON-004	18	4
HON-004	19	4
HON-004	20	4
HON-004	21	4
HON-004	22	4
HON-004	23	4
HON-004	24	4
HON-004	25	4
HON-004	26	4
HON-004	27	4
HON-004	28	4
HON-004	29	4
HON-004	30	4
HON-004	31	4
HON-004	32	4
HON-004	33	4
HON-004	34	4
HON-004	35	4
HON-004	36	4
HON-004	37	4
HON-004	38	4
HON-004	39	4
HON-004	40	4
HON-004	41	4
HON-004	42	4
HON-004	43	4
HON-004	44	4
HON-004	45	4
HON-004	46	4
HON-004	47	4
HON-004	48	4
HON-004	49	4
HON-004	50	4
HON-004	51	4
HON-004	52	4
HON-004	53	4
HON-004	54	4
HON-004	55	4
HON-004	56	4
HON-004	57	4
HON-004	58	4
HON-004	59	4
HON-004	60	4
HON-004	61	4
HON-004	62	4
HON-004	63	4
HON-004	64	4
HON-004	65	4
HON-004	66	4
HON-004	67	4
HON-004	68	4
HON-004	69	4
HON-004	70	4
HON-004	71	4
HON-004	72	4
HON-004	73	4
HON-004	74	4
HON-004	75	4
HON-004	76	4
HON-004	77	4
HON-004	78	4
HON-004	79	4
HON-005	0	4
HON-005	1	4
HON-005	2	4
HON-005	3	4
HON-005	4	4
HON-005	5	4
HON-005	6	4
HON-005	7	4
HON-005	8	4
HON-005	9	4
HON-005	10	4
HON-005	11	4
HON-005	12	4
HON-005	13	4
HON-005	14	4
HON-005	15	4
HON-005	16	4
HON-005	17	4
HON-005	18	4
HON-005	19	4
HON-005	20	4
HON-005	21	4
