ep	step	tier
DOS-RPL-01	0	4
DOS-RPL-01	1	4
DOS-RPL-01	2	1
DOS-RPL-01	3	1
DOS-RPL-01	4	1
DOS-RPL-01	5	1
DOS-RPL-01	6	1
DOS-RPL-01	7	1
DOS-RPL-01	8	1
DOS-RPL-01	9	1
DOS-RPL-01	10	1
DOS-RPL-01	11	1
DOS-RPL-01	12	1
DOS-RPL-01	13	1
DOS-RPL-01	14	1
DOS-RPL-01	15	1
DOS-RPL-01	16	1
DOS-RPL-01	17	1
DOS-RPL-01	18	1
DOS-RPL-01	19	1
DOS-RPL-01	20	1
DOS-RPL-01	21	1
DOS-RPL-01	22	1
DOS-RPL-01	23	1
DOS-RPL-01	24	1
DOS-RPL-01	25	1
DOS-RPL-01	26	1
DOS-RPL-01	27	1
DOS-RPL-01	28	1
DOS-RPL-01	29	1
DOS-RPL-01	30	1
DOS-RPL-01	31	1
DOS-RPL-01	32	1
DOS-RPL-01	33	1
DOS-RPL-01	34	1
DOS-RPL-01	35	1
DOS-RPL-01	36	1
DOS-RPL-01	37	1
DOS-RPL-01	38	1
DOS-RPL-01	39	1
DOS-RPL-01	40	1
DOS-RPL-01	41	1
DOS-RPL-01	42	1
DOS-RPL-01	43	1
DOS-RPL-01	44	1
DOS-RPL-01	45	1
DOS-RPL-01	46	1
DOS-RPL-01	47	1
DOS-RPL-01	48	1
DOS-RPL-01	49	1
DOS-RPL-01	50	1
DOS-RPL-01	51	1
DOS-RPL-01	52	1
DOS-RPL-01	53	1
DOS-RPL-01	54	1
DOS-RPL-01	55	1
DOS-RPL-01	56	1
DOS-RPL-01	57	1
DOS-RPL-01	58	1
DOS-RPL-01	59	1
DOS-RPL-02	0	4
DOS-RPL-02	1	4
DOS-RPL-02	2	1
DOS-RPL-02	3	1
DOS-RPL-02	4	1
DOS-RPL-02	5	1
DOS-RPL-02	6	1
DOS-RPL-02	7	1
DOS-RPL-02	8	1
DOS-RPL-02	9	1
DOS-RPL-02	10	1
DOS-RPL-02	11	1
DOS-RPL-02	12	1
DOS-RPL-02	13	1
DOS-RPL-02	14	1
DOS-RPL-02	15	1
DOS-RPL-02	16	1
DOS-RPL-02	17	1
DOS-RPL-02	18	1
DOS-RPL-02	19	1
DOS-RPL-02	20	1
DOS-RPL-02	21	1
DOS-RPL-02	22	1
DOS-RPL-02	23	1
DOS-RPL-02	24	1
DOS-RPL-02	25	1
DOS-RPL-02	26	1
DOS-RPL-02	27	1
DOS-RPL-02	28	1
DOS-RPL-02	29	1
DOS-RPL-02	30	1
DOS-RPL-02	31	1
DOS-RPL-02	32	1
DOS-RPL-02	33	1
DOS-RPL-02	34	1
DOS-RPL-02	35	1
DOS-RPL-02	36	1
DOS-RPL-02	37	1
DOS-RPL-02	38	1
DOS-RPL-02	39	1
DOS-RPL-02	40	1
DOS-RPL-02	41	1
DOS-RPL-02	42	1
DOS-RPL-02	43	1
DOS-RPL-02	44	1
DOS-RPL-02	45	1
DOS-RPL-02	46	1
DOS-RPL-02	47	1
DOS-RPL-02	48	1
DOS-RPL-02	49	1
DOS-RPL-02	50	1
DOS-RPL-02	51	1
DOS-RPL-02	52	1
DOS-RPL-02	53	1
DOS-RPL-02	54	1
DOS-RPL-02	55	1
DOS-RPL-02	56	1
DOS-RPL-02	57	1
DOS-RPL-02	58	1
DOS-RPL-02	59	1
DOS-RPL-03	0	4
DOS-RPL-03	1	4
DOS-RPL-03	2	1
DOS-RPL-03	3	1
DOS-RPL-03	4	1
DOS-RPL-03	5	1
DOS-RPL-03	6	1
DOS-RPL-03	7	1
DOS-RPL-03	8	1
DOS-RPL-03	9	1
DOS-RPL-03	10	1
DOS-RPL-03	11	1
DOS-RPL-03	12	1
DOS-RPL-03	13	1
DOS-RPL-03	14	1
DOS-RPL-03	15	1
DOS-RPL-03	16	1
DOS-RPL-03	17	1
DOS-RPL-03	18	1
DOS-RPL-03	19	1
DOS-RPL-03	20	1
DOS-RPL-03	21	1
DOS-RPL-03	22	1
DOS-RPL-03	23	1
DOS-RPL-03	24	1
DOS-RPL-03	25	1
DOS-RPL-03	26	1
DOS-RPL-03	27	1
DOS-RPL-03	28	1
DOS-RPL-03	29	1
DOS-RPL-03	30	1
DOS-RPL-03	31	1
DOS-RPL-03	32	1
DOS-RPL-03	33	1
DOS-RPL-03	34	1
DOS-RPL-03	35	1
DOS-RPL-03	36	1
DOS-RPL-03	37	1
DOS-RPL-03	38	1
DOS-RPL-03	39	1
DOS-RPL-03	40	1
DOS-RPL-03	41	1
DOS-RPL-03	42	1
DOS-RPL-03	43	1
DOS-RPL-03	44	1
DOS-RPL-03	45	1
DOS-RPL-03	46	1
DOS-RPL-03	47	1
DOS-RPL-03	48	1
DOS-RPL-03	49	1
DOS-RPL-03	50	1
DOS-RPL-03	51	1
DOS-RPL-03	52	1
DOS-RPL-03	53	1
DOS-RPL-03	54	1
DOS-RPL-03	55	1
DOS-RPL-03	56	1
DOS-RPL-03	57	1
DOS-RPL-03	58	1
DOS-RPL-03	59	1
DOS-RPL-04	0	4
DOS-RPL-04	1	4
DOS-RPL-04	2	1
DOS-RPL-04	3	1
DOS-RPL-04	4	1
DOS-RPL-04	5	1
DOS-RPL-04	6	1
DOS-RPL-04	7	1
DOS-RPL-04	8	1
DOS-RPL-04	9	1
DOS-RPL-04	10	1
DOS-RPL-04	11	1
DOS-RPL-04	12	1
DOS-RPL-04	13	1
DOS-RPL-04	14	1
DOS-RPL-04	15	1
DOS-RPL-04	16	1
DOS-RPL-04	17	1
DOS-RPL-04	18	1
DOS-RPL-04	19	1
DOS-RPL-04	20	1
DOS-RPL-04	21	1
DOS-RPL-04	22	1
DOS-RPL-04	23	1
DOS-RPL-04	24	1
DOS-RPL-04	25	1
DOS-RPL-04	26	1
DOS-RPL-04	27	1
DOS-RPL-04	28	1
DOS-RPL-04	29	1
DOS-RPL-04	30	1
DOS-RPL-04	31	1
DOS-RPL-04	32	1
DOS-RPL-04	33	1
DOS-RPL-04	34	1
DOS-RPL-04	35	1
DOS-RPL-04	36	1
DOS-RPL-04	37	1
DOS-RPL-04	38	1
DOS-RPL-04	39	1
DOS-RPL-04	40	1
DOS-RPL-04	41	1
DOS-RPL-04	42	1
DOS-RPL-04	43	1
DOS-RPL-04	44	1
DOS-RPL-04	45	1
DOS-RPL-04	46	1
DOS-RPL-04	47	1
DOS-RPL-04	48	1
DOS-RPL-04	49	1
DOS-RPL-04	50	1
DOS-RPL-04	51	1
DOS-RPL-04	52	1
DOS-RPL-04	53	1
DOS-RPL-04	54	1
DOS-RPL-04	55	1
DOS-RPL-04	56	1
DOS-RPL-04	57	1
DOS-RPL-04	58	1
DOS-RPL-04	59	1
DOS-RPL-05	0	4
DOS-RPL-05	1	4
DOS-RPL-05	2	1
DOS-RPL-05	3	1
DOS-RPL-05	4	1
DOS-RPL-05	5	1
DOS-RPL-05	6	1
DOS-RPL-05	7	1
DOS-RPL-05	8	1
DOS-RPL-05	9	1
DOS-RPL-05	10	1
DOS-RPL-05	11	1
DOS-RPL-05	12	1
DOS-RPL-05	13	1
DOS-RPL-05	14	1
DOS-RPL-05	15	1
DOS-RPL-05	16	1
DOS-RPL-05	17	1
DOS-RPL-05	18	1
DOS-RPL-05	19	1
DOS-RPL-05	20	1
DOS-RPL-05	21	1
DOS-RPL-05	22	1
DOS-RPL-05	23	1
DOS-RPL-05	24	1
DOS-RPL-05	25	1
DOS-RPL-05	26	1
DOS-RPL-05	27	1
DOS-RPL-05	28	1
DOS-RPL-05	29	1
DOS-RPL-05	30	1
DOS-RPL-05	31	1
DOS-RPL-05	32	1
DOS-RPL-05	33	1
DOS-RPL-05	34	1
DOS-RPL-05	35	1
DOS-RPL-05	36	1
DOS-RPL-05	37	1
DOS-RPL-05	38	1
DOS-RPL-05	39	1
DOS-RPL-05	40	1
DOS-RPL-05	41	1
DOS-RPL-05	42	1
DOS-RPL-05	43	1
DOS-RPL-05	44	1
DOS-RPL-05	45	1
DOS-RPL-05	46	1
DOS-RPL-05	47	1
DOS-RPL-05	48	1
DOS-RPL-05	49	1
DOS-RPL-05	50	1
DOS-RPL-05	51	1
DOS-RPL-05	52	1
DOS-RPL-05	53	1
DOS-RPL-05	54	1
DOS-RPL-05	55	1
DOS-RPL-05	56	1
DOS-RPL-05	57	1
DOS-RPL-05	58	1
DOS-RPL-05	59	1
DOS-RPL-06	0	4
DOS-RPL-06	1	4
DOS-RPL-06	2	1
DOS-RPL-06	3	1
DOS-RPL-06	4	1
DOS-RPL-06	5	1
DOS-RPL-06	6	1
DOS-RPL-06	7	1
DOS-RPL-06	8	1
DOS-RPL-06	9	1
DOS-RPL-06	10	1
DOS-RPL-06	11	1
DOS-RPL-06	12	1
DOS-RPL-06	13	1
DOS-RPL-06	14	1
DOS-RPL-06	15	1
DOS-RPL-06	16	1
DOS-RPL-06	17	1
DOS-RPL-06	18	1
DOS-RPL-06	19	1
DOS-RPL-06	20	1
DOS-RPL-06	21	1
DOS-RPL-06	22	1
DOS-RPL-06	23	1
DOS-RPL-06	24	1
DOS-RPL-06	25	1
DOS-RPL-06	26	1
DOS-RPL-06	27	1
DOS-RPL-06	28	1
DOS-RPL-06	29	1
DOS-RPL-06	30	1
DOS-RPL-06	31	1
DOS-RPL-06	32	1
DOS-RPL-06	33	1
DOS-RPL-06	34	1
DOS-RPL-06	35	1
DOS-RPL-06	36	1
DOS-RPL-06	37	1
DOS-RPL-06	38	1
DOS-RPL-06	39	1
DOS-RPL-06	40	1
DOS-RPL-06	41	1
DOS-RPL-06	42	1
DOS-RPL-06	43	1
DOS-RPL-06	44	1
DOS-RPL-06	45	1
DOS-RPL-06	46	1
DOS-RPL-06	47	1
DOS-RPL-06	48	1
DOS-RPL-06	49	1
DOS-RPL-06	50	1
DOS-RPL-06	51	1
DOS-RPL-06	52	1
DOS-RPL-06	53	1
DOS-RPL-06	54	1
DOS-RPL-06	55	1
DOS-RPL-06	56	1
DOS-RPL-06	57	1
DOS-RPL-06	58	1
DOS-RPL-06	59	1
DOS-RPL-07	0	4
DOS-RPL-07	1	4
DOS-RPL-07	2	1
DOS-RPL-07	3	1
DOS-RPL-07	4	1
DOS-RPL-07	5	1
DOS-RPL-07	6	1
DOS-RPL-07	7	1
DOS-RPL-07	8	1
DOS-RPL-07	9	1
DOS-RPL-07	10	1
DOS-RPL-07	11	1
DOS-RPL-07	12	1
DOS-RPL-07	13	1
DOS-RPL-07	14	1
DOS-RPL-07	15	1
DOS-RPL-07	16	1
DOS-RPL-07	17	1
DOS-RPL-07	18	1
DOS-RPL-07	19	1
DOS-RPL-07	20	1
DOS-RPL-07	21	1
DOS-RPL-07	22	1
DOS-RPL-07	23	1
DOS-RPL-07	24	1
DOS-RPL-07	25	1
DOS-RPL-07	26	1
DOS-RPL-07	27	1
DOS-RPL-07	28	1
DOS-RPL-07	29	1
DOS-RPL-07	30	1
DOS-RPL-07	31	1
DOS-RPL-07	32	1
DOS-RPL-07	33	1
DOS-RPL-07	34	1
DOS-RPL-07	35	1
DOS-RPL-07	36	1
DOS-RPL-07	37	1
DOS-RPL-07	38	1
DOS-RPL-07	39	1
DOS-RPL-07	40	1
DOS-RPL-07	41	1
DOS-RPL-07	42	1
DOS-RPL-07	43	1
DOS-RPL-07	44	1
DOS-RPL-07	45	1
DOS-RPL-07	46	1
DOS-RPL-07	47	1
DOS-RPL-07	48	1
DOS-RPL-07	49	1
DOS-RPL-07	50	1
DOS-RPL-07	51	1
DOS-RPL-07	52	1
DOS-RPL-07	53	1
DOS-RPL-07	54	1
DOS-RPL-07	55	1
DOS-RPL-07	56	1
DOS-RPL-07	57	1
DOS-RPL-07	58	1
DOS-RPL-07	59	1
DOS-RPL-08	0	4
DOS-RPL-08	1	4
DOS-RPL-08	2	1
DOS-RPL-08	3	1
DOS-RPL-08	4	1
DOS-RPL-08	5	1
DOS-RPL-08	6	1
DOS-RPL-08	7	1
DOS-RPL-08	8	1
DOS-RPL-08	9	1
DOS-RPL-08	10	1
DOS-RPL-08	11	1
DOS-RPL-08	12	1
DOS-RPL-08	13	1
DOS-RPL-08	14	1
DOS-RPL-08	15	1
DOS-RPL-08	16	1
DOS-RPL-08	17	1
DOS-RPL-08	18	1
DOS-RPL-08	19	1
