kind	idx	trial	task	truth	formF	formG	chal	base	booster	ops
adv	200000	r2a_colorconst_200000	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200001	r2a_colorconst_200001	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200002	r2a_colorconst_200002	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200003	r2a_colorconst_200003	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200004	r2a_colorconst_200004	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200005	r2a_colorconst_200005	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200006	r2a_colorconst_200006	colorconst	DIFFERENT	DIFFERENT	SAME_SURFACE	DIFFERENT	INSTALL	WITHHOLD	13944
adv	200007	r2a_colorconst_200007	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200008	r2a_colorconst_200008	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200009	r2a_colorconst_200009	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200010	r2a_colorconst_200010	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200011	r2a_colorconst_200011	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200012	r2a_colorconst_200012	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200013	r2a_colorconst_200013	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200014	r2a_colorconst_200014	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200015	r2a_colorconst_200015	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200016	r2a_colorconst_200016	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200017	r2a_colorconst_200017	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200018	r2a_colorconst_200018	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200019	r2a_colorconst_200019	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200020	r2a_colorconst_200020	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200021	r2a_colorconst_200021	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200022	r2a_colorconst_200022	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200023	r2a_colorconst_200023	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200024	r2a_colorconst_200024	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200025	r2a_colorconst_200025	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200026	r2a_colorconst_200026	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200027	r2a_colorconst_200027	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200028	r2a_colorconst_200028	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200029	r2a_colorconst_200029	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200030	r2a_colorconst_200030	colorconst	DIFFERENT	DIFFERENT	SAME_SURFACE	DIFFERENT	INSTALL	WITHHOLD	13944
adv	200031	r2a_colorconst_200031	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200032	r2a_colorconst_200032	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200033	r2a_colorconst_200033	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200034	r2a_colorconst_200034	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200035	r2a_colorconst_200035	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200036	r2a_colorconst_200036	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200037	r2a_colorconst_200037	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200038	r2a_colorconst_200038	colorconst	DIFFERENT	SAME_SURFACE	SAME_SURFACE	DIFFERENT	WITHHOLD	WITHHOLD	13944
adv	200039	r2a_colorconst_200039	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200040	r2a_colorconst_200040	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200041	r2a_colorconst_200041	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200042	r2a_colorconst_200042	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200043	r2a_colorconst_200043	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200044	r2a_colorconst_200044	colorconst	DIFFERENT	SAME_SURFACE	SAME_SURFACE	DIFFERENT	WITHHOLD	WITHHOLD	13944
adv	200045	r2a_colorconst_200045	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200046	r2a_colorconst_200046	colorconst	DIFFERENT	SAME_SURFACE	SAME_SURFACE	DIFFERENT	WITHHOLD	WITHHOLD	13944
adv	200047	r2a_colorconst_200047	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200048	r2a_colorconst_200048	colorconst	DIFFERENT	DIFFERENT	SAME_SURFACE	DIFFERENT	INSTALL	WITHHOLD	13944
adv	200049	r2a_colorconst_200049	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200050	r2a_colorconst_200050	colorconst	DIFFERENT	DIFFERENT	SAME_SURFACE	DIFFERENT	WITHHOLD	WITHHOLD	13944
adv	200051	r2a_colorconst_200051	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200052	r2a_colorconst_200052	colorconst	DIFFERENT	DIFFERENT	SAME_SURFACE	DIFFERENT	INSTALL	WITHHOLD	13944
adv	200053	r2a_colorconst_200053	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200054	r2a_colorconst_200054	colorconst	DIFFERENT	SAME_SURFACE	SAME_SURFACE	DIFFERENT	WITHHOLD	WITHHOLD	13944
adv	200055	r2a_colorconst_200055	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200056	r2a_colorconst_200056	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200057	r2a_colorconst_200057	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200058	r2a_colorconst_200058	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200059	r2a_colorconst_200059	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200060	r2a_colorconst_200060	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200061	r2a_colorconst_200061	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200062	r2a_colorconst_200062	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200063	r2a_colorconst_200063	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200064	r2a_colorconst_200064	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200065	r2a_colorconst_200065	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200066	r2a_colorconst_200066	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200067	r2a_colorconst_200067	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200068	r2a_colorconst_200068	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200069	r2a_colorconst_200069	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200070	r2a_colorconst_200070	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200071	r2a_colorconst_200071	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200072	r2a_colorconst_200072	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200073	r2a_colorconst_200073	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200074	r2a_colorconst_200074	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200075	r2a_colorconst_200075	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200076	r2a_colorconst_200076	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200077	r2a_colorconst_200077	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200078	r2a_colorconst_200078	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200079	r2a_colorconst_200079	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200080	r2a_colorconst_200080	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200081	r2a_colorconst_200081	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200082	r2a_colorconst_200082	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200083	r2a_colorconst_200083	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200084	r2a_colorconst_200084	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200085	r2a_colorconst_200085	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200086	r2a_colorconst_200086	colorconst	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	SAME_SURFACE	INSTALL	INSTALL	13944
adv	200087	r2a_colorconst_200087	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200088	r2a_colorconst_200088	colorconst	DIFFERENT	DIFFERENT	SAME_SURFACE	DIFFERENT	INSTALL	WITHHOLD	13944
adv	200089	r2a_colorconst_200089	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200090	r2a_colorconst_200090	colorconst	DIFFERENT	SAME_SURFACE	DIFFERENT	DIFFERENT	WITHHOLD	WITHHOLD	13944
adv	200091	r2a_colorconst_200091	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200092	r2a_colorconst_200092	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200093	r2a_colorconst_200093	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200094	r2a_colorconst_200094	colorconst	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	INSTALL	INSTALL	13944
adv	200095	r2a_colorconst_200095	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200096	r2a_colorconst_200096	colorconst	DIFFERENT	SAME_SURFACE	SAME_SURFACE	DIFFERENT	WITHHOLD	WITHHOLD	13944
adv	200097	r2a_colorconst_200097	colorconst	SAME_SURFACE	DIFFERENT	SAME_SURFACE	SAME_SURFACE	WITHHOLD	WITHHOLD	13944
adv	200098	r2a_colorconst_200098	colorconst	DIFFERENT	SAME_SURFACE	SAME_SURFACE	DIFFERENT	WITHHOLD	WITHHOLD	13944
