kind	idx	trial	task	truth	formF	formG	chal	base	booster	ops
adv	200000	r2a_motiondir_200000	motiondir	N	S	N	N	WITHHOLD	WITHHOLD	1431000
adv	200001	r2a_motiondir_200001	motiondir	SW	SW	E	E	WITHHOLD	WITHHOLD	1431000
adv	200002	r2a_motiondir_200002	motiondir	NE	NE	N	N	WITHHOLD	WITHHOLD	1431000
adv	200003	r2a_motiondir_200003	motiondir	NW	SE	NW	NW	WITHHOLD	WITHHOLD	1431000
adv	200004	r2a_motiondir_200004	motiondir	SW	S	SW	SW	WITHHOLD	WITHHOLD	1431000
adv	200005	r2a_motiondir_200005	motiondir	SE	SE	SE	SE	WITHHOLD	WITHHOLD	1431000
adv	200006	r2a_motiondir_200006	motiondir	NE	SW	NE	NE	WITHHOLD	WITHHOLD	1431000
adv	200007	r2a_motiondir_200007	motiondir	N	N	N	N	WITHHOLD	WITHHOLD	1431000
adv	200008	r2a_motiondir_200008	motiondir	W	W	W	W	WITHHOLD	WITHHOLD	1431000
adv	200009	r2a_motiondir_200009	motiondir	S	N	E	E	WITHHOLD	WITHHOLD	1431000
adv	200010	r2a_motiondir_200010	motiondir	N	S	N	N	WITHHOLD	WITHHOLD	1431000
adv	200011	r2a_motiondir_200011	motiondir	SW	SW	SW	SW	WITHHOLD	WITHHOLD	1431000
adv	200012	r2a_motiondir_200012	motiondir	W	E	W	W	WITHHOLD	WITHHOLD	1431000
adv	200013	r2a_motiondir_200013	motiondir	W	NW	W	W	WITHHOLD	WITHHOLD	1431000
adv	200014	r2a_motiondir_200014	motiondir	NW	NW	NW	NW	WITHHOLD	WITHHOLD	1431000
adv	200015	r2a_motiondir_200015	motiondir	W	E	W	W	WITHHOLD	WITHHOLD	1431000
adv	200016	r2a_motiondir_200016	motiondir	E	E	E	E	WITHHOLD	WITHHOLD	1431000
adv	200017	r2a_motiondir_200017	motiondir	N	N	N	N	WITHHOLD	WITHHOLD	1431000
adv	200018	r2a_motiondir_200018	motiondir	SW	NE	SW	SW	WITHHOLD	WITHHOLD	1431000
adv	200019	r2a_motiondir_200019	motiondir	E	NE	E	E	WITHHOLD	WITHHOLD	1431000
adv	200020	r2a_motiondir_200020	motiondir	S	S	S	S	WITHHOLD	WITHHOLD	1431000
adv	200021	r2a_motiondir_200021	motiondir	E	W	E	E	WITHHOLD	WITHHOLD	1431000
adv	200022	r2a_motiondir_200022	motiondir	W	NE	W	W	WITHHOLD	WITHHOLD	1431000
adv	200023	r2a_motiondir_200023	motiondir	E	W	N	UNRESOLVED	WITHHOLD	WITHHOLD	1431000
adv	200024	r2a_motiondir_200024	motiondir	NW	SE	NW	NW	WITHHOLD	WITHHOLD	1431000
adv	200025	r2a_motiondir_200025	motiondir	NW	NW	N	N	WITHHOLD	WITHHOLD	1431000
adv	200026	r2a_motiondir_200026	motiondir	E	E	E	E	WITHHOLD	WITHHOLD	1431000
adv	200027	r2a_motiondir_200027	motiondir	E	W	E	E	WITHHOLD	WITHHOLD	1431000
adv	200028	r2a_motiondir_200028	motiondir	W	W	W	W	WITHHOLD	WITHHOLD	1431000
adv	200029	r2a_motiondir_200029	motiondir	NW	NW	NW	NW	WITHHOLD	WITHHOLD	1431000
adv	200030	r2a_motiondir_200030	motiondir	SW	NE	SW	SW	WITHHOLD	WITHHOLD	1431000
adv	200031	r2a_motiondir_200031	motiondir	E	SE	E	E	WITHHOLD	WITHHOLD	1431000
adv	200032	r2a_motiondir_200032	motiondir	SW	SW	SW	SW	WITHHOLD	WITHHOLD	1431000
adv	200033	r2a_motiondir_200033	motiondir	NW	SE	NW	NW	WITHHOLD	WITHHOLD	1431000
adv	200034	r2a_motiondir_200034	motiondir	SE	SW	SE	SE	WITHHOLD	WITHHOLD	1431000
adv	200035	r2a_motiondir_200035	motiondir	SE	SE	SE	SE	WITHHOLD	WITHHOLD	1431000
adv	200036	r2a_motiondir_200036	motiondir	NE	SW	NE	NE	WITHHOLD	WITHHOLD	1431000
adv	200037	r2a_motiondir_200037	motiondir	S	SE	S	UNRESOLVED	WITHHOLD	WITHHOLD	1431000
