kind	idx	trial	task	truth	formF	formG	chal	base	booster	ops
adv	200000	r2a_pitchdisc_200000	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200001	r2a_pitchdisc_200001	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200002	r2a_pitchdisc_200002	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200003	r2a_pitchdisc_200003	pitchdisc	HIGHER	HIGHER	SAME	HIGHER	WITHHOLD	WITHHOLD	179200
adv	200004	r2a_pitchdisc_200004	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200005	r2a_pitchdisc_200005	pitchdisc	SAME	SAME	LOWER	SAME	WITHHOLD	WITHHOLD	179200
adv	200006	r2a_pitchdisc_200006	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200007	r2a_pitchdisc_200007	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200008	r2a_pitchdisc_200008	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200009	r2a_pitchdisc_200009	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200010	r2a_pitchdisc_200010	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200011	r2a_pitchdisc_200011	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200012	r2a_pitchdisc_200012	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200013	r2a_pitchdisc_200013	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200014	r2a_pitchdisc_200014	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200015	r2a_pitchdisc_200015	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	WITHHOLD	WITHHOLD	179200
adv	200016	r2a_pitchdisc_200016	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200017	r2a_pitchdisc_200017	pitchdisc	LOWER	HIGHER	LOWER	LOWER	WITHHOLD	WITHHOLD	179200
adv	200018	r2a_pitchdisc_200018	pitchdisc	SAME	SAME	SAME	SAME	WITHHOLD	WITHHOLD	179200
adv	200019	r2a_pitchdisc_200019	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200020	r2a_pitchdisc_200020	pitchdisc	LOWER	HIGHER	LOWER	LOWER	WITHHOLD	WITHHOLD	179200
adv	200021	r2a_pitchdisc_200021	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200022	r2a_pitchdisc_200022	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200023	r2a_pitchdisc_200023	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200024	r2a_pitchdisc_200024	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200025	r2a_pitchdisc_200025	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200026	r2a_pitchdisc_200026	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200027	r2a_pitchdisc_200027	pitchdisc	LOWER	LOWER	LOWER	LOWER	WITHHOLD	WITHHOLD	179200
adv	200028	r2a_pitchdisc_200028	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200029	r2a_pitchdisc_200029	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200030	r2a_pitchdisc_200030	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200031	r2a_pitchdisc_200031	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200032	r2a_pitchdisc_200032	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200033	r2a_pitchdisc_200033	pitchdisc	LOWER	LOWER	SAME	SAME	WITHHOLD	WITHHOLD	179200
adv	200034	r2a_pitchdisc_200034	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200035	r2a_pitchdisc_200035	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200036	r2a_pitchdisc_200036	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200037	r2a_pitchdisc_200037	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200038	r2a_pitchdisc_200038	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200039	r2a_pitchdisc_200039	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200040	r2a_pitchdisc_200040	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200041	r2a_pitchdisc_200041	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200042	r2a_pitchdisc_200042	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	WITHHOLD	WITHHOLD	179200
adv	200043	r2a_pitchdisc_200043	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200044	r2a_pitchdisc_200044	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200045	r2a_pitchdisc_200045	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200046	r2a_pitchdisc_200046	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200047	r2a_pitchdisc_200047	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200048	r2a_pitchdisc_200048	pitchdisc	LOWER	LOWER	SAME	LOWER	INSTALL	WITHHOLD	179200
adv	200049	r2a_pitchdisc_200049	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200050	r2a_pitchdisc_200050	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200051	r2a_pitchdisc_200051	pitchdisc	LOWER	LOWER	SAME	LOWER	WITHHOLD	WITHHOLD	179200
adv	200052	r2a_pitchdisc_200052	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200053	r2a_pitchdisc_200053	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200054	r2a_pitchdisc_200054	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200055	r2a_pitchdisc_200055	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200056	r2a_pitchdisc_200056	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200057	r2a_pitchdisc_200057	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200058	r2a_pitchdisc_200058	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200059	r2a_pitchdisc_200059	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200060	r2a_pitchdisc_200060	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200061	r2a_pitchdisc_200061	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200062	r2a_pitchdisc_200062	pitchdisc	LOWER	HIGHER	LOWER	LOWER	WITHHOLD	WITHHOLD	179200
adv	200063	r2a_pitchdisc_200063	pitchdisc	LOWER	LOWER	SAME	LOWER	WITHHOLD	WITHHOLD	179200
adv	200064	r2a_pitchdisc_200064	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200065	r2a_pitchdisc_200065	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200066	r2a_pitchdisc_200066	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200067	r2a_pitchdisc_200067	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200068	r2a_pitchdisc_200068	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200069	r2a_pitchdisc_200069	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200070	r2a_pitchdisc_200070	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200071	r2a_pitchdisc_200071	pitchdisc	SAME	HIGHER	SAME	SAME	WITHHOLD	WITHHOLD	179200
adv	200072	r2a_pitchdisc_200072	pitchdisc	LOWER	LOWER	LOWER	LOWER	WITHHOLD	WITHHOLD	179200
adv	200073	r2a_pitchdisc_200073	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200074	r2a_pitchdisc_200074	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200075	r2a_pitchdisc_200075	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	WITHHOLD	WITHHOLD	179200
adv	200076	r2a_pitchdisc_200076	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200077	r2a_pitchdisc_200077	pitchdisc	SAME	HIGHER	SAME	SAME	WITHHOLD	WITHHOLD	179200
adv	200078	r2a_pitchdisc_200078	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200079	r2a_pitchdisc_200079	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200080	r2a_pitchdisc_200080	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200081	r2a_pitchdisc_200081	pitchdisc	SAME	SAME	SAME	SAME	INSTALL	INSTALL	179200
adv	200082	r2a_pitchdisc_200082	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200083	r2a_pitchdisc_200083	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200084	r2a_pitchdisc_200084	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200085	r2a_pitchdisc_200085	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200086	r2a_pitchdisc_200086	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200087	r2a_pitchdisc_200087	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200088	r2a_pitchdisc_200088	pitchdisc	LOWER	LOWER	LOWER	LOWER	INSTALL	INSTALL	179200
adv	200089	r2a_pitchdisc_200089	pitchdisc	HIGHER	HIGHER	HIGHER	HIGHER	INSTALL	INSTALL	179200
adv	200090	r2a_pitchdisc_200090	pitchdisc	SAME	SAME	SAME	SAME	WITHHOLD	WITHHOLD	179200
