trial_idx,fixture_id,fixture_path,task,truth,stratum,family
0,r21a_colorconst_0,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_0.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
1,r21a_colorconst_1,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_1.r2a,colorconst,DIFFERENT,gen_adv,R2A-CCN-1
2,r21a_colorconst_10,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_10.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
3,r21a_colorconst_100,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_100.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
4,r21a_colorconst_101,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_101.r2a,colorconst,DIFFERENT,gen_adv,R2A-CCN-1
5,r21a_colorconst_102,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_102.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
6,r21a_colorconst_103,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_103.r2a,colorconst,DIFFERENT,gen_adv,R2A-CCN-1
7,r21a_colorconst_104,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_104.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
8,r21a_colorconst_105,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_105.r2a,colorconst,DIFFERENT,gen_adv,R2A-CCN-1
9,r21a_colorconst_106,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_106.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
10,r21a_colorconst_107,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_107.r2a,colorconst,DIFFERENT,gen_adv,R2A-CCN-1
11,r21a_colorconst_108,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_108.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
12,r21a_colorconst_109,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_109.r2a,colorconst,DIFFERENT,gen_adv,R2A-CCN-1
13,r21a_colorconst_11,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_11.r2a,colorconst,DIFFERENT,gen_adv,R2A-CCN-1
14,r21a_colorconst_110,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_110.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
15,r21a_colorconst_111,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_111.r2a,colorconst,DIFFERENT,gen_adv,R2A-CCN-1
16,r21a_colorconst_112,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_112.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
17,r21a_colorconst_113,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_113.r2a,colorconst,DIFFERENT,gen_adv,R2A-CCN-1
18,r21a_colorconst_114,/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/forks/R2-1/src/../suite/r21a_colorconst_114.r2a,colorconst,SAME_SURFACE,gen_adv,R2A-CCN-1
