trial_id	task	split	family	fixture	truth
r211g_r2n_colorconst_0666	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0666.img	SAME_SURFACE
r211g_r2a_colorconst_0035	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0035.img	DIFFERENT
r211g_r2a_pitchdisc_0327	pitchdisc	adversarial	R2A-PTC-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0327.pcm	HIGHER
r211g_r2a_timbredisc_0342	timbredisc	adversarial	R2A-TMB-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0342.pcm	PURE
r211g_r2a_timbredisc_0597	timbredisc	adversarial	R2A-TMB-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0597.pcm	PURE
r211g_r2n_pitchdisc_0421	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0421.pcm	HIGHER
r211g_r2n_colordisc_0058	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_0058.img	SAME
r211g_r2a_pitchdisc_0210	pitchdisc	adversarial	R2A-PTC-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0210.pcm	SAME
r211g_r2n_timbredisc_0508	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0508.pcm	PURE
r211g_r2a_timbredisc_0322	timbredisc	adversarial	R2A-TMB-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0322.pcm	RICH
r211g_r2a_colordisc_0906	colordisc	adversarial	R2A-COL-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0906.img	DIFFERENT
r211g_r2a_motiondir_0871	motiondir	adversarial	R2A-MOT-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0871.vid	E
r211g_r2n_pitchdisc_0338	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0338.pcm	LOWER
r211g_r2n_shapetrans_0238	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0238.img	TRIANGLE
r211g_r2n_colordisc_0505	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_0505.img	DIFFERENT
r211g_r2a_pitchdisc_0828	pitchdisc	adversarial	R2A-PTC-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0828.pcm	SAME
r211g_r2a_shapetrans_0176	shapetrans	adversarial	R2A-SHP-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0176.img	SQUARE
r211g_r2n_colorconst_0237	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0237.img	DIFFERENT
r211g_r2n_colorconst_0615	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0615.img	DIFFERENT
r211g_r2a_shapetrans_0644	shapetrans	adversarial	R2A-SHP-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0644.img	CIRCLE
r211g_r2a_colordisc_0284	colordisc	adversarial	R2A-COL-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0284.img	DIFFERENT
r211g_r2n_colordisc_1036	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_1036.img	DIFFERENT
r211g_r2n_colorconst_0121	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0121.img	DIFFERENT
r211g_r2a_motiondir_0398	motiondir	adversarial	R2A-MOT-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0398.vid	N
