sample_idx	trial_id	task	fixture	truth	kind	family
0	r2a_colorconst_0538	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0538.img	truth=SAME_SURFACE	adversarial	R2A-CCN-2
1	r2a_colorconst_0464	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0464.img	truth=DIFFERENT	adversarial	R2A-CCN-2
2	r2n_timbredisc_0406	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0406.pcm	truth=DARK	normal	-
3	r2a_shapetrans_0031	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0031.img	truth=CIRCLE	adversarial	R2A-SHP-1
4	r2n_colordisc_0818	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0818.img	truth=DIFFERENT	normal	-
5	r2a_motiondir_0374	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0374.vid	truth=W	adversarial	R2A-MOT-2
6	r2n_colordisc_0720	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0720.img	truth=SAME	normal	-
7	r2a_pitchdisc_0544	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0544.pcm	truth=LOWER	adversarial	R2A-PTC-2
8	r2n_colordisc_0669	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0669.img	truth=SAME	normal	-
9	r2a_shapetrans_0296	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0296.img	truth=SQUARE	adversarial	R2A-SHP-1
10	h_pitchdisc_noise_p016	pitchdisc	senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p016.pcm	HIGHER	normal	harness-noise
11	r2n_colorconst_0015	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0015.img	truth=DIFFERENT	normal	-
12	r2a_colordisc_0093	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0093.img	truth=DIFFERENT	adversarial	R2A-COL-1
13	h_colorconst_noise_p029	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/noise/p029.img	DIFFERENT	normal	harness-noise
14	h_shapetrans_noise_p082	shapetrans	senses/rebuild/harness/fixtures/t3_shapetrans/noise/p082.img	TRIANGLE	normal	harness-noise
15	r2n_shapetrans_0486	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0486.img	truth=CIRCLE	normal	-
