ep	step	tier
K-001	0	4
K-001	1	4
K-001	2	4
K-001	3	4
K-001	4	4
K-001	5	4
K-001	6	4
K-001	7	4
K-001	8	4
K-001	9	4
K-001	10	4
K-001	11	4
K-001	12	4
K-001	13	4
K-001	14	4
K-001	15	4
K-001	16	4
K-001	17	4
K-001	18	4
K-001	19	4
K-001	20	4
K-001	21	4
K-001	22	4
K-001	23	4
K-001	24	4
K-001	25	4
K-001	26	4
K-001	27	4
K-001	28	4
K-001	29	4
K-001	30	4
K-001	31	4
K-001	32	4
K-001	33	4
K-001	34	4
K-001	35	4
K-001	36	4
K-001	37	4
K-001	38	4
K-001	39	4
K-001	40	4
K-001	41	4
K-001	42	4
K-001	43	4
K-001	44	4
K-001	45	4
K-001	46	4
K-001	47	4
K-001	48	4
K-001	49	4
K-001	50	4
K-001	51	4
K-001	52	4
K-001	53	4
K-001	54	4
K-001	55	4
K-001	56	4
K-001	57	4
K-001	58	4
K-001	59	4
K-001	60	4
K-001	61	4
K-001	62	4
K-001	63	4
K-001	64	1
K-001	65	1
K-001	66	1
K-001	67	1
K-001	68	1
K-001	69	1
K-002	0	4
K-002	1	4
K-002	2	4
K-002	3	4
K-002	4	4
K-002	5	4
K-002	6	4
K-002	7	4
K-002	8	4
K-002	9	4
K-002	10	4
K-002	11	4
K-002	12	4
K-002	13	4
K-002	14	4
K-002	15	4
K-002	16	4
K-002	17	4
K-002	18	4
K-002	19	4
K-002	20	4
K-002	21	4
K-002	22	4
K-002	23	4
K-002	24	4
K-002	25	4
K-002	26	4
K-002	27	4
K-002	28	4
K-002	29	4
K-002	30	4
K-002	31	4
K-002	32	4
K-002	33	4
K-002	34	4
K-002	35	4
K-002	36	4
K-002	37	4
K-002	38	4
K-002	39	4
K-002	40	4
K-002	41	4
K-002	42	4
K-002	43	4
K-002	44	4
K-002	45	4
K-002	46	4
K-002	47	4
K-002	48	4
K-002	49	4
K-002	50	4
K-002	51	4
K-002	52	4
K-002	53	4
K-002	54	4
K-002	55	4
K-002	56	4
K-002	57	4
K-002	58	4
K-002	59	4
K-002	60	4
K-002	61	4
K-002	62	4
K-002	63	4
K-002	64	1
K-002	65	1
K-002	66	1
K-002	67	1
K-002	68	1
K-002	69	1
K-003	0	4
K-003	1	4
K-003	2	4
K-003	3	4
K-003	4	4
K-003	5	4
K-003	6	4
K-003	7	4
K-003	8	4
K-003	9	4
K-003	10	4
K-003	11	4
K-003	12	4
K-003	13	4
K-003	14	4
K-003	15	4
K-003	16	4
K-003	17	4
K-003	18	4
