C1	Water boils at 100C.	Conditional case 1	If water reaches 100C it boils.
C2	Water boils at 100C.	Conditional case 2	If water reaches 100C it boils; the kettle reached 100C.
C3	Smoke causes cancer.	Conditional case 3	If people smoke, it causes cancer.
C4	Smoke causes cancer.	Conditional case 4	If people smoke, it causes cancer. Smokers in the study had more cancer.
C5	The tower was struck by lightning.	Conditional case 5	If the storm had come, lightning would have struck the tower.
C6	Lightning strikes the tower.	Conditional case 6	If a storm comes, lightning will strike the tower.
C7	Birds use tools.	Conditional case 7	Birds use tools if they are available.
C8	Birds use tools.	Conditional case 8	Birds use tools; sticks were available to the crows.
C9	Honey cures coughs.	Conditional case 9	If honey is taken, it cures coughs.
C10	Water boils at 100C.	Conditional case 10	Water would boil at 100C if heated.
C11	Water boils at 100C.	Conditional case 11	If water reaches 100C it boils, and our thermometer read 100C.
C12	Smoke causes cancer.	Conditional case 12	Smoke causes cancer whether you smoke or not.
C13	Water boils at 100C.	Conditional case 13	If water reaches 100C it does not boil.
