H1	Coffee cures colds.	Hedge case 1	Coffee may cure colds.
H2	Coffee cures colds.	Hedge case 2	Coffee might cure colds.
H3	Coffee cures colds.	Hedge case 3	Coffee could cure colds.
H4	Coffee cures colds.	Hedge case 4	A study suggests coffee cures colds.
H5	Coffee cures colds.	Hedge case 5	Coffee possibly cures colds.
H6	Coffee cures colds.	Hedge case 6	Coffee appears to cure colds.
H7	Coffee cures colds.	Hedge case 7	Coffee seems to cure colds.
H8	Coffee cures colds.	Hedge case 8	Coffee is thought to cure colds.
H9	Coffee cures colds.	Hedge case 9	Coffee may not cure colds.
H10	Coffee cures colds.	Hedge case 10	Coffee cures colds.
H11	Coffee does not cure colds.	Hedge case 11	Coffee may not cure colds.
H12	Coffee cures colds.	Hedge case 12	Researchers believe coffee cures colds.
