# vid	b	t	win	coh_pm	g_pm	ebar	n_vote	e_total	agree	agree_dir	pair_wins	still_like
9AwUsf8HzVI	3	1695	3	713	1672	3705	437	1619456	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	3615	3	891	1580	3850	420	1617216	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	3	285	5	713	1502	3591	446	1601710	7	5	5,5,5,5,5,5,5	False
9AwUsf8HzVI	3	1680	3	603	1720	3474	447	1552906	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	450	7	963	1884	3451	434	1497917	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	4	1755	7	764	1767	3417	438	1496873	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	4	3630	3	912	1604	3537	402	1422192	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	3	3630	3	911	1387	3286	426	1400064	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	4	1740	7	734	1880	3112	444	1381872	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	1755	7	675	1633	3073	437	1343011	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	3615	3	908	1189	3122	411	1283240	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	2	3630	3	925	1066	2982	424	1264535	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	3	225	7	675	1784	2853	441	1258485	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	1740	7	674	1752	2733	444	1213779	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	465	7	934	1708	2826	425	1201150	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	465	7	951	1896	2685	436	1170923	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	4	705	7	576	1884	2577	440	1134286	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	1335	6	376	1920	2548	439	1118783	7	6	6,6,6,6,6,6,6	False
9AwUsf8HzVI	3	1005	3	753	1770	2539	432	1097150	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	1485	7	626	1641	2691	404	1087264	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	1755	7	700	1370	2531	429	1085922	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	240	6	761	1145	2461	440	1082933	7	6	6,6,6,6,6,6,6	False
9AwUsf8HzVI	3	1485	7	651	1879	2654	408	1082909	7	7	7,7,7,7,7,7,7	False
OQSNhk5ICTI	4	120	2	540	1926	2411	446	1075746	7	2	2,2,2,2,2,2,2	False
9AwUsf8HzVI	3	390	3	694	1835	2489	432	1075580	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	1095	4	610	1253	2375	445	1057299	7	4	4,4,4,4,4,4,4	False
9AwUsf8HzVI	4	405	3	861	1664	2428	435	1056543	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	4	390	3	806	1826	2401	432	1037474	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	3	720	7	569	1740	2369	431	1021215	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	1020	3	667	1832	2300	442	1016720	7	3	3,3,3,3,3,3,3	False
