ARM,A8
VARIANT,f3
ROUND,5
GENOME,1,0,0,29,48,0,0,1,0
TN_CHECK,h2_episodes_ok,0,0
TN_CHECK,h2_pinstall_n,1,1
TN_CHECK,h2_pinstall_step,14,14
TN_CHECK,h2_pinstall_policy,1,1
TN_CHECK,h2_cal_score,4,4
TN_CHECK,h2_fire_step,15,15
TN_CHECK,h2_ndisconnect,1,1
TN_CHECK,h2_nuninstall,14,0
TN_CHECK,h2_uninstall_policy,1,-1
TN_CHECK,h2_lawfail_step,-1,-1
TN_CHECK,h2_revoke_step,15,-1
TN_CHECK,h2_ncommit,14,0
TN_CHECK,h2_commit_policy,2,-1
TN_CHECK,h2_npromote,0,1
TN_CHECK,h2_promote_step,-1,48
TN_CHECK,h2_total_contest,41,48
TN_CHECK,h2_total_rekey,7,0
TN_CHECK,h2_total_overwrite,0,0
TN_CHECK,h2_total_refuse,10,10
TN_CHECK,h2_quar_used,0,48
TN_CHECK,h2_main18_val_mm,0,0
TN_CHECK,h2_main18_flag_mm,8,0
TN_CHECK,h2_audit_total,310,269
LEDGER,1,1,0,-1
LEDGER,1,4,1,0
LEDGER,2,1,0,-1
LEDGER,2,4,2,0
LEDGER,3,1,0,-1
LEDGER,3,4,3,0
LEDGER,4,1,0,-1
LEDGER,4,4,4,0
LEDGER,5,1,0,-1
LEDGER,5,4,5,0
LEDGER,6,1,0,-1
LEDGER,6,4,6,0
LEDGER,7,1,0,-1
LEDGER,7,4,7,0
LEDGER,8,1,0,-1
LEDGER,8,4,8,0
LEDGER,9,1,1,-1
LEDGER,9,2,0,0
LEDGER,10,1,1,-1
LEDGER,10,2,0,0
LEDGER,11,1,2,-1
LEDGER,11,3,0,1
LEDGER,12,1,2,-1
LEDGER,12,3,0,1
LEDGER,13,1,2,-1
LEDGER,13,3,0,1
LEDGER,14,1,2,-1
LEDGER,14,3,0,1
LEDGER,14,16,0,1
LEDGER,15,11,0,0
LEDGER,15,1,3,-1
LEDGER,15,6,1,1
LEDGER,15,15,1,-1
LEDGER,15,18,0,1
LEDGER,15,13,1,2
LEDGER,16,1,3,-1
LEDGER,16,7,9,2
LEDGER,16,15,2,-1
LEDGER,16,18,0,2
LEDGER,16,13,1,1
LEDGER,17,1,3,-1
LEDGER,17,6,3,1
LEDGER,17,15,1,-1
LEDGER,17,18,0,1
LEDGER,17,13,1,2
LEDGER,18,1,3,-1
LEDGER,18,7,9,4
LEDGER,18,15,2,-1
LEDGER,18,18,0,2
LEDGER,18,13,1,1
LEDGER,19,1,3,-1
LEDGER,19,6,5,1
LEDGER,19,15,1,-1
LEDGER,19,18,0,1
LEDGER,19,13,1,2
LEDGER,20,1,3,-1
LEDGER,20,7,9,6
LEDGER,20,15,2,-1
LEDGER,20,18,0,2
LEDGER,20,13,1,1
LEDGER,21,1,3,-1
LEDGER,21,6,7,1
LEDGER,21,15,1,-1
LEDGER,21,18,0,1
LEDGER,21,13,1,2
LEDGER,22,1,3,-1
LEDGER,22,7,9,8
LEDGER,22,15,2,-1
LEDGER,22,18,0,2
LEDGER,22,13,1,1
LEDGER,23,1,4,-1
