ARM,A9
VARIANT,a3
ROUND,4
GENOME,2,1,0,29,48,1,0,0,3
TN_CHECK,h2_episodes_ok,0,0
TN_CHECK,h2_pinstall_n,1,1
TN_CHECK,h2_pinstall_step,14,14
TN_CHECK,h2_pinstall_policy,2,2
TN_CHECK,h2_withhold_n,0,0
TN_CHECK,h2_cal_score,4,4
TN_CHECK,h2_fire_step,15,15
TN_CHECK,h2_ndisconnect,1,1
TN_CHECK,h2_connected_end,0,0
TN_CHECK,h2_nuninstall,1,1
TN_CHECK,h2_revoke_step,29,15
TN_CHECK,h2_ncommit,1,1
TN_CHECK,h2_commit_step,29,15
TN_CHECK,h2_commit_policy,1,1
TN_CHECK,h2_npromote,0,0
TN_CHECK,h2_promote_step,-1,-1
TN_CHECK,h2_promote_policy,-1,-1
TN_CHECK,h2_neg_signal_n,1,1
TN_CHECK,h2_selfaudit_n,0,0
TN_CHECK,h2_total_contest,43,47
TN_CHECK,h2_total_rekey,15,1
TN_CHECK,h2_total_overwrite,0,0
TN_CHECK,h2_total_refuse,30,10
TN_CHECK,h2_persist_contest,24,24
TN_CHECK,h2_persist_refuse,4,4
TN_CHECK,h2_quar_used,43,47
TN_CHECK,h2_post29_rekey,0,0
TN_CHECK,h2_uninstall_policy,2,2
TN_CHECK,h2_teach_lie_n,2,2
TN_CHECK,h2_main18_val_mm,0,0
TN_CHECK,h2_main18_flag_mm,0,0
TN_CHECK,h2_real_rekeyed,15,1
TN_CHECK,h2_audit_total,291,271
LEDGER,1,1,0,-1
LEDGER,1,4,1,0
LEDGER,2,1,0,-1
LEDGER,2,4,2,0
LEDGER,3,1,0,-1
LEDGER,3,4,3,0
LEDGER,4,1,0,-1
LEDGER,4,4,4,0
LEDGER,5,1,0,-1
LEDGER,5,4,5,0
LEDGER,6,1,0,-1
LEDGER,6,4,6,0
LEDGER,7,1,0,-1
LEDGER,7,4,7,0
LEDGER,8,1,0,-1
LEDGER,8,4,8,0
LEDGER,9,1,1,-1
LEDGER,9,2,0,1
LEDGER,10,1,1,-1
LEDGER,10,2,0,1
LEDGER,11,1,2,-1
LEDGER,11,3,0,1
LEDGER,12,1,2,-1
LEDGER,12,3,0,1
LEDGER,13,1,2,-1
LEDGER,13,3,0,1
LEDGER,14,1,2,-1
LEDGER,14,3,0,1
LEDGER,14,16,0,2
LEDGER,15,11,0,0
LEDGER,15,1,3,-1
LEDGER,15,7,9,1
LEDGER,16,1,3,-1
LEDGER,16,7,10,2
LEDGER,17,1,3,-1
LEDGER,17,7,11,3
LEDGER,18,1,3,-1
LEDGER,18,7,12,4
LEDGER,19,1,3,-1
LEDGER,19,7,13,5
LEDGER,20,1,3,-1
LEDGER,20,7,14,6
LEDGER,21,1,3,-1
LEDGER,21,7,15,7
LEDGER,22,1,3,-1
LEDGER,22,7,16,8
LEDGER,23,1,4,-1
LEDGER,23,10,1,2
LEDGER,23,7,17,1
LEDGER,24,1,4,-1
LEDGER,24,10,2,2
LEDGER,24,7,18,2
LEDGER,25,1,4,-1
LEDGER,25,10,1,2
LEDGER,25,7,19,3
LEDGER,26,1,4,-1
