ARM,A9
VARIANT,f3
ROUND,5
GENOME,2,1,0,29,48,1,0,0,4
TN_CHECK,h2_episodes_ok,0,0
TN_CHECK,h2_pinstall_n,1,1
TN_CHECK,h2_pinstall_step,14,14
TN_CHECK,h2_pinstall_policy,2,2
TN_CHECK,h2_cal_score,4,4
TN_CHECK,h2_fire_step,15,15
TN_CHECK,h2_ndisconnect,1,1
TN_CHECK,h2_nuninstall,1,1
TN_CHECK,h2_uninstall_policy,2,2
TN_CHECK,h2_lawfail_step,15,15
TN_CHECK,h2_revoke_step,-1,-1
TN_CHECK,h2_ncommit,1,1
TN_CHECK,h2_commit_policy,1,1
TN_CHECK,h2_npromote,0,0
TN_CHECK,h2_promote_step,-1,-1
TN_CHECK,h2_total_contest,57,47
TN_CHECK,h2_total_rekey,1,1
TN_CHECK,h2_total_overwrite,0,0
TN_CHECK,h2_total_refuse,30,10
TN_CHECK,h2_quar_used,57,47
TN_CHECK,h2_main18_val_mm,0,0
TN_CHECK,h2_main18_flag_mm,0,0
TN_CHECK,h2_audit_total,291,271
LEDGER,1,1,0,-1
LEDGER,1,4,1,0
LEDGER,2,1,0,-1
LEDGER,2,4,2,0
LEDGER,3,1,0,-1
LEDGER,3,4,3,0
LEDGER,4,1,0,-1
LEDGER,4,4,4,0
LEDGER,5,1,0,-1
LEDGER,5,4,5,0
LEDGER,6,1,0,-1
LEDGER,6,4,6,0
LEDGER,7,1,0,-1
LEDGER,7,4,7,0
LEDGER,8,1,0,-1
LEDGER,8,4,8,0
LEDGER,9,1,1,-1
LEDGER,9,2,0,1
LEDGER,10,1,1,-1
LEDGER,10,2,0,1
LEDGER,11,1,2,-1
LEDGER,11,3,0,1
LEDGER,12,1,2,-1
LEDGER,12,3,0,1
LEDGER,13,1,2,-1
LEDGER,13,3,0,1
LEDGER,14,1,2,-1
LEDGER,14,3,0,1
LEDGER,14,16,0,2
LEDGER,15,11,0,0
LEDGER,15,1,3,-1
LEDGER,15,7,9,1
LEDGER,15,15,2,-3
LEDGER,15,18,0,2
LEDGER,15,13,1,1
LEDGER,16,1,3,-1
LEDGER,16,6,2,1
LEDGER,17,1,3,-1
LEDGER,17,6,3,2
LEDGER,18,1,3,-1
LEDGER,18,6,4,3
LEDGER,19,1,3,-1
LEDGER,19,6,5,4
LEDGER,20,1,3,-1
LEDGER,20,6,6,5
LEDGER,21,1,3,-1
LEDGER,21,6,7,6
LEDGER,22,1,3,-1
LEDGER,22,6,8,7
LEDGER,23,1,4,-1
LEDGER,23,10,1,1
LEDGER,23,6,1,8
LEDGER,24,1,4,-1
LEDGER,24,10,2,1
LEDGER,24,6,2,9
LEDGER,25,1,4,-1
LEDGER,25,10,1,1
LEDGER,25,6,3,10
LEDGER,26,1,4,-1
LEDGER,26,10,2,1
LEDGER,26,6,4,11
LEDGER,27,1,4,-1
LEDGER,27,10,1,1
LEDGER,27,6,5,12
LEDGER,28,1,4,-1
LEDGER,28,10,2,1
LEDGER,28,6,6,13
LEDGER,29,1,5,-1
LEDGER,29,10,1,1
LEDGER,29,6,1,14
LEDGER,30,1,5,-1
