# section	check-name — counted checks per sibling frozen prereg;
# names as emitted; log names are NUL-stripped before matching (vision §E
# names carry a trailing NUL from a 16-byte name buffer — cosmetic only).
A	se2v-a-bad-magic
A	se2v-a-bad-version
A	se2v-a-bad-encoding
A	se2v-a-width-0
A	se2v-a-height-0
A	se2v-a-width-65
A	se2v-a-height-65
A	se2v-a-plen-neq-wh3
A	se2v-a-bad-hash
A	se2v-a-trunc-header
A	se2v-a-trunc-payload
A	se2v-a-zero-payload
A	se2v-a-plen-over-cap
A	se2v-a-channels-neq-3
A	se2v-a-bitdepth-neq-8
A	se2v-a-reserved-nonzero
B	se2v-b-judgment-none
B	se2v-b-judgment-5
B	se2v-b-strength-0
B	se2v-b-strength-101
B	se2v-b-region-2
B	se2v-b-cite-neg1
B	se2v-b-dead-recid
B	se2v-b-full-refused
B	se2v-b-audit-scan
C	se2v-c-kill-pinned
C	se2v-c-kill-core
C	se2v-c-kill-no-evidence
C	se2v-c-kill-legit
C	se2v-c-rekill
C	se2v-c-recall-dead
C	se2v-c-recall-twice
C	se2v-c-recall-no-alias
C	se2v-c-pin-idempotent
C	se2v-c-observe-freed
D	se2v-twin-px-plus1
D	se2v-twin-px-permute
D	se2v-twin-row-swap
D	se2v-twin-px-zeroed
D	se2v-twin-brightness-plus1
D	se2v-twin-size-1x1-vs-2x2
D	se2v-twin-wh-transposed
D	se2v-twin-px-minus1
D	se2v-twin-px-chan-zero
D	se2v-twin-col-swap
D	se2v-twin-px-chan-rotate
D	se2v-twin-brightness-minus1
D	se2v-twin-px-invert
D	se2v-twin-diag-swap
D	se2v-twin-corner-px-bump
D	se2v-twin-width-plus1
D	se2v-twin-height-plus1
D	se2v-twin-uniform-gray-step
D	se2v-twin-red-vs-blue
D	se2v-twin-px-relocate
D	se2v-twin-lsb-flip
D	se2v-twin-px-plus1-8x8
D	se2v-twin-phase-swap
D	se2v-twin-tail-byte-plus1
E	se2v-e-frame-00
E	se2v-e-frame-01
E	se2v-e-frame-02
E	se2v-e-frame-03
E	se2v-e-frame-04
E	se2v-e-frame-05
E	se2v-e-frame-06
E	se2v-e-frame-07
E	se2v-e-frame-08
E	se2v-e-frame-09
E	se2v-e-frame-10
E	se2v-e-frame-11
